問題,回答,解説,カテゴリ
4代目正統カリフは？,アリー。,656～661年に第4代正統カリフを務めた。ムハンマドの従弟であり娘婿でもある。,イスラーム世界
アリーは正統カリフ政権の政治拠点をどこからどこへ移したか？,メディナからクーファへ。,アリーは内戦への対応や支持基盤を確保するため、政治の中心をアラビア半島のメディナからイラクのクーファへ移した。,イスラーム世界
ウマイヤ朝の都は？,ダマスクス（ダマスカス）。,ウマイヤ朝はシリアのダマスクスを都とし、そこを中心に広大な帝国を統治した。,イスラーム世界
正統カリフを4人答えなさい,アブー＝バクル、ウマル、ウスマーン、アリー。,ムハンマド死後の632年から661年までの4人のカリフを正統カリフという。順番はアブー＝バクル → ウマル → ウスマーン → アリー。,イスラーム世界
イスラム史において最も多い王朝は何系？,トルコ系。,イスラーム世界では10世紀以降、カラ＝ハン朝・ガズナ朝・セルジューク朝・オスマン帝国など、多くのトルコ系王朝が成立した。特に中世以降、トルコ系勢力がイスラーム世界の政治・軍事で大きな役割を担った。,イスラーム世界
イスラム史における代表的なイラン系王朝を3つ答えなさい,サーマーン朝、ブワイフ朝、サファヴィー朝。,サーマーン朝は中央アジア、ブワイフ朝はイラン・イラク、サファヴィー朝はイランを中心に成立した代表的なイラン系王朝。,イスラーム世界
アブド=アルマリクについて説明しなさい,ウマイヤ朝第5代カリフ。アラビア語を公用語とし、貨幣制度を整備して国家のアラブ化・中央集権化を進めた。,在位685～705年。行政用語をアラビア語に統一し、ディナール金貨・ディルハム銀貨などイスラーム独自の貨幣を整備した。またエルサレムに岩のドームを建設したことでも知られる。,イスラーム世界
アリー支持派の拠点となった都市はどこか？,クーファ。,アリーは政治拠点をメディナからイラクのクーファへ移した。クーファにはアリーを支持する人々が多く、のちのシーア派形成とも深く関わった。,イスラーム世界
スンナとはどういう意味？,ムハンマドの言行・慣行。,スンナとは「慣行・模範」という意味で、特に預言者ムハンマドの言葉や行動を模範として受け継いだものを指す。スンナを重視する人々がスンナ派と呼ばれる。,イスラーム世界
スンナ派、シーア派にとってイマームとはどういう存在か？,スンナ派では礼拝や共同体を導く指導者、シーア派ではアリーの血統を継ぐ正統な宗教・政治指導者。,スンナ派のイマームは基本的に礼拝の先導者などを意味し、特別な血統は必要ない。一方シーア派では、イマームはアリーとファーティマの子孫に連なる、神に導かれた特別な最高指導者と考えられる。,イスラーム世界
アブド=アルマリクは何語を公用語にしたか？,アラビア語。,それまで地域によってギリシア語やペルシア語などが行政に使われていたが、アブド＝アルマリクは行政用語をアラビア語へ統一し、国家のアラブ化を進めた。,イスラーム世界
アブド＝アルマリクは貨幣を何に統一したか？,ディナール金貨とディルハム銀貨。,ビザンツ帝国やササン朝の影響が残っていた貨幣制度を改め、イスラーム独自の貨幣を発行した。金貨がディナール、銀貨がディルハム。,イスラーム世界
ワリード1世について説明せよ,ウマイヤ朝第6代カリフ。領土を大きく拡大し、ウマイヤ朝の最盛期を築いた。,在位705～715年。イベリア半島・中央アジア・インド方面へ征服を進めた。ダマスクスのウマイヤ＝モスク建設でも知られる。,イスラーム世界
ウマイヤ朝がジブラルタル海峡を渡って滅ぼした王国は？,西ゴート王国。,711年、イスラーム軍はジブラルタル海峡を渡ってイベリア半島へ侵入し、西ゴート王国を滅ぼした。,イスラーム世界
ウマイヤ朝軍がカール＝マルテル率いるフランク軍に敗れた戦いは？,トゥール・ポワティエ間の戦い。,732年、フランク王国の宮宰カール＝マルテルがウマイヤ朝系のイスラーム軍を破った戦い。イスラーム勢力の西ヨーロッパへの進出を食い止めた戦いとして知られる。,イスラーム世界
アターとは何か説明しなさい,征服に参加したアラブ人兵士などに国家から支給された俸給。,初期イスラーム国家では、征服活動を担ったアラブ人戦士らに国庫から定期的な俸給が支給された。これをアターという。すべてのアラブ人が無条件にもらったという意味ではない。,イスラーム世界
マワーリーとは何か説明しなさい,イスラームに改宗した非アラブ人。,特にウマイヤ朝では、イラン人などの非アラブ系改宗者をマワーリーと呼んだ。イスラームに改宗してもアラブ人より低い扱いを受けることがあり、この不満がアッバース革命を支持する一因となった。,イスラーム世界
アッバース革命の拠点となった地域は？,ホラーサーン。,現在のイラン北東部から中央アジアにまたがる地域。非アラブ人やウマイヤ朝に不満を持つ勢力が多く、アブー＝ムスリムらがここを拠点に革命を進めた。,イスラーム世界
アッバース朝の初代カリフは？,アブー＝アル＝アッバース（サッファーフ）。,750年にウマイヤ朝を倒してアッバース朝を成立させた初代カリフ。「サッファーフ」の名でも知られる。,イスラーム世界
アッバース朝がシーア派を弾圧した理由は？,アリーの子孫を正統な指導者とするシーア派が、アッバース家のカリフ支配を脅かす存在だったため。,アッバース家は革命時には反ウマイヤ勢力としてシーア派などの協力も得たが、政権成立後はアリー家の子孫がカリフ位の有力な対抗候補になった。そのため反乱を警戒して弾圧した。,イスラーム世界
アッバース朝はジズヤとハラージュの課税対象をどのように改めたか？,ジズヤは非ムスリムに課し、ハラージュは宗教に関係なく土地に課す税とした。,ウマイヤ朝では非アラブ人改宗者にもジズヤが課されることがあったが、アッバース朝では原則としてムスリムはジズヤを免除された。一方、ハラージュは土地税として、所有者がムスリムでも課税され得た。,イスラーム世界
アッバース朝の2代目カリフは？,マンスール。,在位754～775年。アッバース朝の支配体制を固め、762年にバグダードを建設して都とした。,イスラーム世界
マンスールがティグリス川流域に建設した都は？,バグダード。,762年にマンスールがティグリス川沿いに建設した新都。東西交易の要地にあり、アッバース朝の政治・経済・文化の中心として繁栄した。,イスラーム世界
駅伝制について説明せよ,各地に駅を置き、人や馬を交代させながら公文書や情報を素早く運ぶ制度。,アッバース朝では「バリード」と呼ばれる郵便・駅伝網が整備され、政府の命令や報告を迅速に伝えた。地方の情報を中央へ集める監察・情報収集の役割も持った。,イスラーム世界
アッバース朝における宰相を何というか？,ワズィール。,カリフを補佐して行政を統括する高官。イラン系の官僚制度の影響を受け、アッバース朝で重要な役職となった。,イスラーム世界
アッバース朝における中央官庁を総称して何というか？,ディーワーン。,財政・軍事・文書行政などを担当する中央官庁・行政組織をディーワーンと呼んだ。,イスラーム世界
イスラム教における神の教えに基づいた行動規範を何というか？,シャリーア。,クルアーンやスンナなどをもとに形成されたイスラーム法・生活規範。礼拝だけでなく、結婚・相続・商取引など社会生活全般に関わる。,イスラーム世界
アッバース朝の5代目カリフは？,ハールーン＝アッラシード。,在位786～809年。アッバース朝が繁栄した時代の代表的カリフで、『千夜一夜物語』にも登場することで知られる。,イスラーム世界
中国でアッバース朝の人々は何と呼ばれたか？,黒衣大食（こくいタージー）。,中国ではアラブ人・イスラーム勢力を「大食（タージー）」と呼び、黒旗・黒衣を用いたアッバース朝を特に「黒衣大食」と呼んだ。,イスラーム世界
アッバース朝におけるギリシア語の文献をアラビア語へ翻訳した場は？,知恵の館（バイト＝アル＝ヒクマ）。,バグダードに置かれた学術機関で、特にマームーンの時代にギリシア語などの哲学・医学・科学書が盛んにアラビア語へ翻訳された。,イスラーム世界
アッバース朝の第7代カリフは？,マームーン。,在位813～833年。学問を保護し、バグダードの知恵の館でギリシア語文献などの翻訳事業を盛んにした。,イスラーム世界
タラス河畔の戦いはどことどこの戦い？,唐とアッバース朝。,751年、中央アジアのタラス河畔で唐軍とアッバース朝軍が戦い、唐が敗北した。この戦いを契機の一つとして中国の製紙法がイスラーム世界へ伝わったとされる。,イスラーム世界
9世紀後半、イスラーム世界とトルコ人との接触が深まるきっかけとなった出来事は？,ウイグル帝国の崩壊（840年）によってトルコ系遊牧民の西方移動が進んだこと。,ウイグル帝国崩壊後、トルコ系遊牧民の西方移動が本格化し、イスラーム世界との接触が増えた。さらに9世紀後半には中央アジアのサーマーン朝がトルコ人をマムルークとして西アジアへ送り込み、接触が一層深まった。,イスラーム世界
奴隷出身の軍人を何というか？,マムルーク。,主にトルコ人などの非イスラーム系の少年・青年を奴隷として購入し、イスラームに改宗させて軍人として訓練した者。アッバース朝以後、多くのイスラーム王朝で重要な軍事力となった。,イスラーム世界
オスマン帝国で、スルタン直属の常備歩兵軍団を何というか？,イェニチェリ。,オスマン帝国のスルタン直属の精鋭歩兵軍団。主にデヴシルメ制度で徴集されたキリスト教徒の子弟をイスラーム教徒として教育・訓練し、常備軍として組織した。,イスラーム世界
アッバース朝のカリフを4人答えなさい,アブー＝アル＝アッバース（サッファーフ）、マンスール、ハールーン＝アッラシード、マームーン。,この4人は大学受験で特に重要なアッバース朝カリフ。初代アブー＝アル＝アッバース（サッファーフ）、第2代マンスール、第5代ハールーン＝アッラシード、第7代マームーンの順。,イスラーム世界
後ウマイヤ朝の建国者は？,アブド＝アッラフマーン1世。,ウマイヤ朝滅亡後、ウマイヤ家の生き残りであるアブド＝アッラフマーン1世がイベリア半島へ逃れ、756年にコルドバを都として後ウマイヤ朝を建国した。,イスラーム世界
後ウマイヤ朝の都は？,コルドバ。,イベリア半島南部の都市。後ウマイヤ朝の政治・経済・文化の中心として発展し、イスラーム世界有数の大都市となった。,イスラーム世界
後ウマイヤ朝のアブド＝アッラフマーン1世が名乗った称号は？,アミール。,アブド＝アッラフマーン1世はカリフを名乗らず、政治・軍事的指導者を意味するアミールを称した。後にアブド＝アッラフマーン3世が929年にカリフを名乗った。,イスラーム世界
カリフとアミールとイマームの違いは？,カリフはイスラーム共同体の最高指導者、アミールは政治・軍事上の支配者、イマームは宗教的指導者。,カリフはムハンマドの後継者としてイスラーム共同体を統治する最高指導者。アミールは総督・君主・軍司令官など政治や軍事を担う支配者。イマームは一般には礼拝の指導者だが、シーア派ではアリーの血統を継ぐ特別な宗教・政治指導者を意味する。,イスラーム世界
ファーティマ朝はどのような経緯で建国されたか説明しなさい,スンナ派の支配に反発するシーア派イスマーイール派が、北アフリカのベルベル人の支持を得てスンナ派のアグラブ朝を倒し、909年に建国した。,シーア派イスマーイール派は、スンナ派のアッバース朝カリフを正統な指導者と認めず、その支配に対抗していた。北アフリカで宣教活動を広げ、現地のクターマ族などのベルベル人の支持を得ると、アッバース朝系のスンナ派政権であるアグラブ朝を滅ぼした。909年、ウバイド＝アッラーがカリフを称してファーティマ朝を建てた。,イスラーム世界
ファーティマ朝がエジプト征服後に首都とした都市は？,カイロ。,969年にファーティマ朝がエジプトを征服した後、新都カイロを建設した。以後、カイロは政治・商業・学問の中心として発展した。,イスラーム世界
三カリフ鼎立時代の3つのカリフ政権を、その拠点とともに答えなさい,アッバース朝＝バグダード、ファーティマ朝＝カイロ、後ウマイヤ朝＝コルドバ。,10世紀には、東のアッバース朝、北アフリカ・エジプトのファーティマ朝、イベリア半島の後ウマイヤ朝がそれぞれカリフを称し、3人のカリフが並立した。,イスラーム世界
ファーティマ朝がカイロに建設した、イスラーム教学の中心となった学院は？,アズハル学院。,970年ごろカイロに建設された。もとはイスマーイール派教学の中心だったが、後にスンナ派の学問・教育の中心となった。現在のアズハル大学へつながる。,イスラーム世界
アズハル学院について説明しなさい,ファーティマ朝がカイロに建設した学院で、当初はシーア派（イスマーイール派）の学問の中心だったが、アイユーブ朝以後はスンナ派神学の中心となった。,ファーティマ朝がカイロに建設した宗教・教育機関。王朝の宗派であるイスマーイール派の教学拠点として始まったが、アイユーブ朝によってスンナ派が重視されると、スンナ派教学の中心へと性格を変えていった。,イスラーム世界
「バグダード入城」について説明しなさい,945年、シーア派のブワイフ朝がバグダードに入り、アッバース朝カリフから大アミールの称号を得て、政治・軍事の実権を握った。1055年、スンナ派のセルジューク朝のトゥグリル＝ベクがバグダードに入り、ブワイフ朝の支配を終わらせた。その後、アッバース朝カリフからスルタンの称号を認められた。,当時のアッバース朝カリフはシーア派のブワイフ朝の軍事的支配下にあった。スンナ派のセルジューク朝を率いるトゥグリル＝ベクがバグダードに入り、ブワイフ朝を排除した。その後、アッバース朝カリフからスルタンの称号を認められた。,イスラーム世界
マラーズギルドの戦いについて説明しなさい,1071年、セルジューク朝が東ローマ帝国を破った戦い。,アルプ＝アルスラーン率いるセルジューク朝軍が東ローマ皇帝ロマノス4世の軍を破った。この敗北によって東ローマ帝国の小アジア支配が弱まり、トルコ人の小アジア進出が進む大きなきっかけとなった。,イスラーム世界
マラーズギルドの戦いで東ローマ帝国を破ったセルジューク朝のスルタンは？,アルプ＝アルスラーン。,セルジューク朝第2代スルタン。1071年のマラーズギルドの戦いで東ローマ帝国軍に勝利した。,イスラーム世界
セルジューク朝の全盛期のスルタン,マリク＝シャー。,セルジューク朝第3代スルタン。名宰相ニザーム＝アル＝ムルクの補佐を受け、11世紀後半にセルジューク朝の領土と統治体制を最盛期へ導いた。,イスラーム世界
セルジューク朝の全盛期を支え、ニザーミーヤ学院を建設した名宰相は？,ニザーム＝アル＝ムルク。,アルプ＝アルスラーンとマリク＝シャーに仕えた名宰相。イクター制を整備し、各地にニザーミーヤ学院を設けてスンナ派教学を振興した。,イスラーム世界
セルジューク朝がスンナ派教学の振興のため、各地に建設した学院は？,ニザーミーヤ学院。,宰相ニザーム＝アル＝ムルクがバグダードなど各地に建設した学院。スンナ派の教学を広め、人材を育成する役割を果たした。,イスラーム世界
セルジューク朝でイクター制を整備した人物は？,ニザーム＝アル＝ムルク。,軍人や官僚に土地そのものではなく、その土地から得られる徴税権を与え、その収入で軍役などを負担させるイクター制を整備した。,イスラーム世界
ルーム=セルジューク朝について説明しなさい,セルジューク朝の一派が小アジアに建てたトルコ系イスラーム王朝。,マラーズギルドの戦い後にトルコ人の小アジア進出が進み、11世紀後半に成立した。「ルーム」はイスラーム側から見たローマ、つまり東ローマ帝国領を意味する。都はコンヤ。13世紀前半にはホラズム・シャー朝のジャラール＝アッディーンと対立し、アイユーブ朝と連合してその軍を破った。,イスラーム世界
ホラズム=シャー朝について説明しなさい,セルジューク朝の支配下でホラズム地方を治めていたトルコ系の総督が独立して成立した、スンナ派イスラーム王朝。,12～13世紀に中央アジアからイラン方面へ勢力を拡大し、セルジューク朝衰退後の有力国家となった。しかし13世紀初め、チンギス＝ハン率いるモンゴル帝国の侵攻によって滅亡した。,イスラーム世界
地図上の空欄①〜⑤をすべて埋めなさい。（９世紀のイスラーム世界）,"① 後ウマイヤ朝
② イドリース朝
③ アッバース朝
④ バグダード
⑤ サーマーン朝",赤い斜線はアラブ系、黒い点はイラン系を示す。斜体・二重下線の②はシーア派を示す。④は赤丸で示した都市。,イスラーム世界
地図上の空欄①〜⑦をすべて埋めなさい。（10世紀のイスラーム世界）,"① 後ウマイヤ朝
② ファーティマ朝
③ アッバース朝
④ バグダード
⑤ ブワイフ朝
⑥ サーマーン朝
⑦ カラ=ハン朝",赤い斜線はアラブ系、黒い点はイラン系、赤い点はトルコ系を示す。斜体・二重下線の②と⑤はシーア派を示す。④は赤丸で示した都市。,イスラーム世界
地図上の空欄①〜⑤をすべて埋めなさい。（11世紀のイスラーム世界）,"① ムラービト朝
② ファーティマ朝
③ セルジューク朝
④ カラ=ハン朝
⑤ ガズナ朝",赤い斜線はアラブ系、赤い点はトルコ系、赤い横線はベルベル人を示す。斜体・二重下線の②はシーア派を示す。,イスラーム世界
地図上の空欄①〜⑧をすべて埋めなさい。（12世紀のイスラーム世界）,"① ムワッヒド朝
② ルーム=セルジューク朝
③ アイユーブ朝
④ バグダード
⑤ アッバース朝カリフ領
⑥ ホラズム朝
⑦ カラ=キタイ（西遼）
⑧ ゴール朝",赤い点はトルコ系、赤い横線はベルベル人、黒い短線はモンゴル系を示す。④は赤丸の都市、⑤はその周辺のカリフ領。⑧のゴール朝の系統は、添付図の注記どおりイラン系・トルコ系の諸説がある。ムワッヒド朝はムワヒッド朝、ホラズム朝はホラズム・シャー朝とも表記する。,イスラーム世界
地図上の空欄①〜⑤をすべて埋めなさい。（13世紀のイスラーム世界）,"① ナスル朝
② マムルーク朝
③ イル=ハン国
④ チャガタイ=ハン国
⑤ 奴隷王朝",赤い点はトルコ系、薄い赤の塗りはアラブ系、黒い短線はモンゴル系を示す。①はイベリア半島南部の小さな領域。,イスラーム世界
地図上の空欄①〜⑩をすべて埋めなさい。（14〜15世紀のイスラーム世界）,"① コンスタンティノープル（ビザンツ帝国）
② オスマン朝
③ アンカラの戦い（1402年）
④ カイロ
⑤ マムルーク朝
⑥ メッカ
⑦ サマルカンド
⑧ ティムール朝
⑨ ヘラート
⑩ トゥグルク朝",赤色の範囲はティムール朝、縦線はオスマン朝、斜線はマムルーク朝、黒い点線はトゥグルク朝の領域を示す。アンカラの戦いは1402年、ティムールがオスマン朝のバヤジット１世を破った戦いである。サマルカンドはティムール朝の都で、ヘラートは15世紀に文化の中心として栄えた。,イスラーム世界
ホラーサーン地方でセルジューク朝を建国し、1055年にバグダードへ入城してアッバース朝カリフからスルタンの称号を受けた人物は？,トゥグリル＝ベグ。,セルジューク家を率いてホラーサーンを支配し、1055年にバグダードへ入城した。アッバース朝カリフからスルタンの称号を認められ、政治・軍事の実権を握った。,イスラーム世界
アッバース朝が滅びた経緯は？,1258年、フレグ率いるモンゴル軍がバグダードを占領し、カリフを処刑した。,フレグはチンギス＝ハンの孫である。バグダードの陥落によって同地のアッバース朝は終わり、その後フレグはイランを中心にイル＝ハン国を建てた。アッバース家のカリフ位はのちにカイロで名目的に再興された。,イスラーム世界
イル＝ハン国の都は？,タブリーズ（初期はマラーガ）。,建国者フレグは当初マラーガを中心とし、次代のアバカがタブリーズへ都を移した。高校世界史ではイル＝ハン国の都としてタブリーズを答える。,イスラーム世界
イル＝ハン国でイスラームを国教とした君主は？,ガザン＝ハン。,ガザン＝ハンは1295年にイスラームへ改宗し、イスラームを国教としてイラン人官僚を登用した。財政や税制の改革も進めた。,イスラーム世界
ガザン＝ハンがイラン統治のために登用したイラン人宰相は？,ラシード＝アッディーン。,ラシード＝アッディーンはガザン＝ハンに仕えた宰相で、財政・税制改革を支えた。モンゴル帝国を含む世界史をまとめた『集史』の編者としても知られる。,イスラーム世界
イラン系最初のイスラーム王朝は？,ターヒル朝。,ターヒル朝は821年にホラーサーンで成立したイラン系王朝で、アッバース朝カリフの宗主権を名目的に認めた。サッファール朝はその後に成立し、アッバース朝からの自立をいっそう強めた。,イスラーム世界
サッファール朝はなぜ滅びた？,サーマーン朝に敗れて主力を失い、残存政権はガズナ朝に滅ぼされたため。,サッファール朝は900年にサーマーン朝に敗れてホラーサーンを失った。その後もスィースターンの政権は残ったが、1003年にガズナ朝に征服された。,イスラーム世界
南イラクで黒人奴隷が起こし、アッバース朝の混乱を深めた反乱は？,ザンジュの乱。,869年から883年にかけて、南イラクの大農園などで働かされていた東アフリカ系の人々を中心に起こった大反乱である。鎮圧に長い年月を要し、アッバース朝を弱体化させた。,イスラーム世界
ブワイフ朝はどのような政権か？,イラン系のダイラム人歩兵とトルコ人騎兵を軍事基盤とする政権。,シーア派を奉じるイラン系の軍事政権で、945年にバグダードへ入城した。アッバース朝カリフを残しながら、大アミールとして政治・軍事の実権を握った。,イスラーム世界
ブワイフ朝がバグダードに入った際、アッバース朝の財政難から何が起こった？,軍人への俸給支払いが困難になり、徴税権を与えるイクター制が広がった。,現金の俸給を十分に払えなくなったため、軍人に土地そのものではなく一定地域の徴税権を与え、その収入を俸給に代える仕組みが用いられた。,イスラーム世界
サーマーン朝の都は？,ブハラ。,中央アジアのブハラはサーマーン朝の首都として栄え、ペルシア語によるイスラーム文化の中心地となった。,イスラーム世界
最初のトルコ系イスラーム王朝は？,カラ＝ハン朝。,中央アジアのトルコ系遊牧民がイスラームを受け入れて成立した王朝で、高校世界史では最初のトルコ系イスラーム王朝とされる。,イスラーム世界
カラ＝キタイについて説明しなさい,遼の王族・耶律大石（やりつたいせき）が中央アジアに建てた王朝。カラ＝ハン朝を服属させ、のちにナイマン出身のクチュルクに政権を奪われ、モンゴル軍に滅ぼされた。,カラ＝キタイは西遼とも呼ばれる。契丹人の耶律大石（やりつたいせき）が遼の滅亡後に西へ移って建国し、1141年のカトワーンの戦いでセルジューク朝を破って中央アジアの覇権を得た。,イスラーム世界
カラ＝ハン朝が建国された経緯を説明しなさい,中央アジアのトルコ系遊牧民が、ムスリム商人との交流を通じてイスラームを受け入れ、10世紀に建国した。中央アジア最初のトルコ系イスラーム王朝。,オアシス都市を行き来するムスリム商人との接触を通じてイスラーム化が進み、サトゥク＝ボグラ＝ハンの改宗などを経て王朝がイスラーム化した。,イスラーム世界
サーマーン朝は何に滅ぼされたか？,カラ＝ハン朝とガズナ朝。,999年にカラ＝ハン朝が首都ブハラを占領し、サーマーン朝は滅亡した。その旧領はおおむね、アム川より北をカラ＝ハン朝、南のホラーサーンをガズナ朝が分けた。,イスラーム世界
ガズナ朝を建てた人物は？,アルプテギン（ガズナに拠点を築き、セブクテギンが王朝を確立）。,サーマーン朝のトルコ人マムルーク出身のアルプテギンが962年にガズナを占領して基礎を築き、後継者セブクテギンが支配を固めた。,イスラーム世界
インドがイスラーム化するきっかけとなった出来事は？,ガズナ朝などの北インド侵入。,ガズナ朝のマフムードは10世紀末から北インドへ遠征を重ね、イスラーム勢力進出の足がかりを作った。北インドでの継続的な支配とイスラーム化は、その後のゴール朝やデリー＝スルタン朝のもとで進んだ。,イスラーム世界
マラーズギルドの戦いは何につながった？,トルコ人のアナトリア進出と、十字軍遠征の背景につながった。,1071年、セルジューク朝がビザンツ帝国を破り、トルコ人のアナトリア進出が進んだ。領土を失ったビザンツ帝国は西欧へ援軍を求め、これが十字軍遠征の背景の一つとなった。,イスラーム世界
マリク＝シャーについて説明しなさい,セルジューク朝の最盛期を築いたスルタン。軍事にはトルコ人を、行政にはイラン人官僚を登用して統治を整えた。,在位は1072年から1092年。宰相ニザーム＝アル＝ムルクを用いてペルシア語による官僚制を整え、セルジューク朝の領域を最大にした。,イスラーム世界
『統治の書』の著者は？,ニザーム＝アル＝ムルク。,セルジューク朝のイラン人宰相で、行政制度の整備やニザーミーヤ学院の設立を進めた。『統治の書』では君主の政治心得を説いた。,イスラーム世界
12世紀前半、イラク北部の総督から自立してできた王朝は？,ザンギー朝。,イマード＝アッディーン＝ザンギーが1127年にモースル総督となって建てたトルコ系政権である。子のヌール＝アッディーンは十字軍勢力との戦いを進めた。,イスラーム世界
レコンキスタとは何か説明しなさい,8世紀から1492年まで、イベリア半島のキリスト教諸国がイスラーム勢力の支配地域へ拡大した長期的な運動。,一つの戦争が約800年間続いたのではなく、諸国による征服・休戦・同盟を含む長期的な動きである。1492年のグラナダ陥落でイスラーム王朝の支配が終わった。,イスラーム世界
ムラービト朝は、どのような宗教的背景のもとで成立した？,西サハラのサンハージャ系ベルベル人の間で広がった、厳格なスンナ派マーリク学派の改革運動。,11世紀、イブン＝ヤーシーンがイスラーム信仰の厳格な実践を説き、その運動を基盤としてムラービト朝が成立した。,イスラーム世界
ムラービト朝は、何に対抗するためにモロッコで建国された？,受験上はシーア派のファーティマ朝への対抗と整理されるが、直接の成立母体は西サハラの宗教改革運動。,ムラービト朝を単にファーティマ朝への対抗だけで説明するのは正確ではない。サンハージャ系ベルベル人の間のスンナ派マーリク学派の改革運動から成立し、のちに北アフリカとイベリア半島へ拡大した。,イスラーム世界
ムラービト朝は、なぜ都マラケシュを繁栄させることができた？,サハラ交易の要地を押さえ、西スーダンの金と北アフリカの岩塩が集まったため。,ムラービト朝はモロッコにマラケシュを建設し、サハラ縦断交易を支配して繁栄した。ガーナ王国を征服したという伝統的説明もあるが、支配の実態には議論がある。,イスラーム世界
ムラービト朝について、「成立・対外進出・経済」の3点から説明しなさい。,西サハラのベルベル人によるスンナ派の改革運動から成立し、イベリア半島へ進出してキリスト教勢力と戦い、サハラ交易を支配して繁栄した。,成立は11世紀のサンハージャ系ベルベル人とイブン＝ヤーシーンの改革運動による。1086年のサグラハスの戦いでカスティリャ軍を破り、金・岩塩などのサハラ交易を経済基盤とした。,イスラーム世界
ムワッヒド朝はどのような経緯で成立した？,ムラービト朝の信仰のあり方を批判し、厳格な唯一神信仰を掲げたベルベル人の改革運動から成立した。,12世紀、イブン＝トゥーマルトが自らをマフディーと称して唯一神信仰を強調した。後継者アブド＝アルムーミンが勢力を拡大し、ムラービト朝を滅ぼして王朝を築いた。,イスラーム世界
レコンキスタで追い詰められ、1492年まで存続したイスラーム王朝は？,ナスル朝。,1232年に成立し、グラナダを中心にイベリア半島最後のイスラーム王朝として存続した。1492年にスペイン王国へグラナダを明け渡した。,イスラーム世界
