term_id,level,unit,period,region,term,term_type,q1_axis,question_1,answer_1,q2_axis,question_2,answer_2,q3_axis,question_3,answer_3,q4_axis,question_4,answer_4,integrated_question,total_explanation,core_keywords
11,歴史の骨格,南アジア史,前2千年紀後半以降,古代インド,ヴァルナ制,社会制度,定義,ヴァルナ制とは何か？,古代インド社会を、宗教的・社会的役割にもとづいて四つの身分に分ける考え方である。,区分,四つの主要なヴァルナは何か？,バラモン、クシャトリヤ、ヴァイシャ、シュードラである。,序列,ヴァルナ制で最上位とされたのは誰か？,祭祀を担うバラモンである。,発展,ヴァルナ制は、後のインド社会でどのように複雑化したか？,職業や地域ごとの細かな集団であるジャーティと結びつき、複雑な身分秩序となった。,ヴァルナ制について、四身分と後世への発展を説明せよ。,ヴァルナ制は、古代インド社会をバラモン、クシャトリヤ、ヴァイシャ、シュードラの四身分に分ける考え方である。宗教的な清浄・不浄や職業と結びつき、後には地域・職業ごとのジャーティと重なって、複雑な社会秩序を形成した。,バラモン;クシャトリヤ;ヴァイシャ;シュードラ;ジャーティ;身分秩序
12,歴史の骨格,南アジア史,前2千年紀後半〜前1千年紀,古代インド,バラモン教,宗教,成立,バラモン教は、どのような宗教をもとに発達したか？,アーリヤ人のヴェーダ信仰をもとに発達した。,担い手,バラモン教で祭祀を独占したのは誰か？,司祭階級であるバラモンである。,特徴,バラモン教では、何が重視されたか？,ヴェーダにもとづく祭祀と、身分秩序が重視された。,変化,バラモン教は、その後どの宗教へ発展していったか？,民間信仰や新しい神々を取り込み、ヒンドゥー教へ発展していった。,バラモン教について、成立・担い手・特徴・後世への変化を説明せよ。,バラモン教は、アーリヤ人のヴェーダ信仰をもとに古代インドで発達した宗教である。司祭階級バラモンが祭祀を担い、ヴェーダと身分秩序を重視した。やがて業・輪廻などの思想や民間信仰を取り込み、ヒンドゥー教の基盤となった。,アーリヤ人;ヴェーダ;バラモン;祭祀;輪廻;ヒンドゥー教
13,歴史の骨格,南アジア史,前5世紀頃以降,北インドからアジア各地,仏教,宗教,開祖,仏教を開いた人物は誰か？,ゴータマ＝シッダールタ、すなわちブッダである。,成立背景,仏教は、どのような社会や宗教への疑問から成立したか？,バラモン中心の祭祀や身分秩序への疑問を背景に成立した。,教え,仏教が説いた、人間の苦しみから抜け出す道は何か？,欲望や執着の原因を見つめ、八正道を実践して悟りに至ることである。,拡大,仏教は、誰の保護によってインド内外へ広がったか？,マウリヤ朝のアショーカ王の保護を受け、各地へ広がった。,仏教について、成立背景・開祖・中心的教え・広がりを説明せよ。,仏教は、前5世紀頃に北インドでゴータマ＝シッダールタが開いた宗教である。祭祀や身分よりも、苦しみの原因である執着を離れ、正しい実践によって悟りに至ることを説いた。アショーカ王の保護などにより、中央・東南・東アジアへ広がった。,ゴータマ＝シッダールタ;ブッダ;四諦;八正道;悟り;アショーカ王
14,歴史の骨格,南アジア史,前4世紀末〜前2世紀初め,北インドを中心に南アジア,マウリヤ朝,王朝・帝国,成立,マウリヤ朝を建てた人物は誰か？,チャンドラグプタである。,特徴,マウリヤ朝は、インド史上どのような意味を持つ王朝か？,北インドを中心に、インド亜大陸の広い範囲を初めて統一した大帝国である。,最盛期,マウリヤ朝が最盛期を迎えたのは、誰の時代か？,アショーカ王の時代である。,影響,アショーカ王は、統治と宗教の面で何を行ったか？,ダルマにもとづく統治を掲げ、仏教を保護して各地へ広めた。,マウリヤ朝について、建国者・統一・最盛期・仏教との関係を説明せよ。,マウリヤ朝は、前4世紀末にチャンドラグプタが建てた、インド亜大陸初の大統一帝国である。アショーカ王の時代に最盛期を迎え、戦争の反省からダルマにもとづく統治を掲げた。仏教を保護し、そのアジア各地への伝播を後押しした。,チャンドラグプタ;統一帝国;アショーカ王;ダルマ;仏教保護
15,歴史の骨格,南アジア史,紀元前後から発展、4世紀頃以降定着,南アジアを中心に世界各地,ヒンドゥー教,宗教,成立,ヒンドゥー教は、どの宗教を基盤に形成されたか？,バラモン教を基盤に、民間信仰やさまざまな神々への信仰を取り込んで形成された。,神々,ヒンドゥー教で特に広く信仰される代表的な神は誰か？,ヴィシュヌ神やシヴァ神などである。,教え,ヒンドゥー教の生活観を支える重要な考えは何か？,業、輪廻、ダルマなどの考えである。,影響,ヒンドゥー教は、南アジア社会にどのような影響を与えたか？,宗教だけでなく、身分・家族・祭礼・芸術など生活全体の基盤となった。,ヒンドゥー教について、成立・代表的な神・中心思想・社会的影響を説明せよ。,ヒンドゥー教は、バラモン教を基盤に民間信仰や多様な神々への信仰を取り込んで形成された宗教である。ヴィシュヌやシヴァを信仰し、業・輪廻・ダルマを重視する。南アジアの身分、家族、祭礼、文化に深く結びついた。,バラモン教;ヴィシュヌ;シヴァ;業;輪廻;ダルマ
16,歴史の骨格,東アジア史,前11世紀頃〜前256年,黄河流域を中心とする中国,周,王朝,成立,周は、どの王朝を倒して成立したか？,殷を倒して成立した。,統治,周は、広い領域をどのような仕組みで支配したか？,王族や功臣を諸侯として各地に置く封建制で支配した。,正当化,周の王は、支配の正当性をどのような考えで説明したか？,徳を失った王朝には天が支配権を与えないという天命思想で説明した。,変化,周の力が衰えた後、中国はどの時代に入ったか？,春秋・戦国時代に入り、諸国が争った。,周について、成立・封建制・天命思想・衰退後の時代を説明せよ。,周は、前11世紀頃に殷を倒して成立した王朝である。王族や功臣を諸侯として各地に配置する封建制を用い、天命思想によって支配を正当化した。王権が弱まると春秋・戦国時代となり、諸国間の競争から新しい思想や制度が生まれた。,殷;封建制;諸侯;天命思想;春秋時代;戦国時代
17,歴史の骨格,東アジア史,前6世紀頃以降,中国から東アジア各地,儒教,思想,提唱者,儒教の祖とされる人物は誰か？,春秋時代の孔子である。,教え,孔子は、社会秩序を保つために何を重視したか？,仁、礼、親子や君臣などの人間関係における道徳を重視した。,国家との関係,儒教は、どの王朝以降、中国王朝の統治思想として重視されたか？,漢代以降、官僚教育と国家統治の中心的思想となった。,影響,儒教は、中国以外のどの地域に影響を与えたか？,朝鮮、日本、ベトナムなど東アジア各地に広がり、政治・教育・家族倫理に影響した。,儒教について、孔子の教えと国家・東アジア社会への影響を説明せよ。,儒教は、前6世紀頃の孔子に始まる思想で、仁や礼を重んじ、家族や君臣の関係を道徳によって整えることを説いた。漢代以降は官僚教育と統治の中心となり、科挙を通じて広まり、中国だけでなく朝鮮・日本・ベトナムにも大きな影響を与えた。,孔子;仁;礼;徳治;漢;科挙;東アジア
18,歴史の骨格,東アジア史,前221年〜前206年,中国,秦,王朝,統一,秦が中国を統一したのは前何年で、統一者は誰か？,前221年で、統一者は始皇帝である。,制度,秦は、地方支配にどのような制度を採用したか？,中央から役人を派遣する郡県制を採用した。,統一政策,秦は、国内統一のために何を標準化したか？,文字、度量衡、貨幣、車軌などを統一した。,影響,秦は短命だったにもかかわらず、なぜ重要なのか？,皇帝を頂点とする中央集権国家の基本形をつくり、後の中国王朝に受け継がれたから。,秦について、中国統一・制度・標準化・歴史的意義を説明せよ。,秦は、前221年に始皇帝が中国を初めて統一して建てた王朝である。郡県制を全国に広げ、文字・度量衡・貨幣などを統一し、法家思想にもとづく中央集権を進めた。厳しい統治で短期間に滅びたが、皇帝国家の基本形を残した。,前221年;始皇帝;郡県制;文字統一;度量衡;中央集権
19,歴史の骨格,東アジア史,前202年〜220年,中国を中心に東アジア・中央アジア,漢,王朝,成立,漢を建てた人物は誰か？,劉邦、すなわち高祖である。,統治,漢は、秦の制度を受け継ぎながら、統治思想として何を重視したか？,中央集権制度を受け継ぎつつ、儒教を国家統治に取り入れた。,拡大,武帝の時代、漢はどの方向へ勢力を広げたか？,匈奴と戦い、西域や朝鮮半島北部などへ勢力を広げた。,影響,漢が東アジア史で重要なのはなぜか？,中国王朝の統治・文化の基本形を整え、漢字や漢民族という名称にも影響を残したから。,漢について、建国・統治・武帝の拡大・後世への影響を説明せよ。,漢は、前202年に劉邦が建てた王朝である。秦の中央集権制度を受け継ぎながら統治を安定させ、武帝の時代には儒教を重視し、西域へ進出した。シルクロード交易も発展し、中国王朝の制度と文化の基本形を確立した。,劉邦;武帝;儒教;中央集権;西域;シルクロード
20,歴史の骨格,東アジア史,前2世紀頃以降,中国・中央アジア・西アジア・地中海世界,シルクロード,交易路・交流,定義,シルクロードとは何か？,中国と中央アジア、西アジア、地中海世界を結んだ複数の陸上交易路の総称である。,発展,シルクロードが本格的に開かれるきっかけとなった中国王朝の活動は何か？,漢の武帝が西域へ張騫を派遣し、中央アジアとの交通を広げたこと。,交易品,シルクロードでは、中国から西方へ何が運ばれたか？,絹などが運ばれ、西方からは馬、宝石、ガラス製品などがもたらされた。,文化交流,シルクロードは、物品以外に何を伝えたか？,仏教、イスラーム教、技術、芸術、疫病なども地域を越えて伝えた。,シルクロードについて、経路・成立の契機・交易品・文化交流を説明せよ。,シルクロードは、中国から中央アジア、西アジアを経て地中海世界へつながる複数の陸上交易路の総称である。漢の西域進出以降に活発化し、絹や馬などの商品だけでなく、仏教・イスラーム教、技術、芸術、疫病も伝えた。,漢;張騫;西域;絹;中央アジア;宗教伝播
21,歴史の骨格,東アジア史,220年〜589年,中国,魏晋南北朝,時代区分,定義,魏晋南北朝とは、どのような時代か？,後漢滅亡後から隋の統一まで、中国が複数の王朝に分裂した時代である。,政治,この時代、中国の北方と南方にはどのような政権が並立したか？,北方には北方民族系の王朝、南方には漢人系の王朝が並立した。,社会変化,魏晋南北朝時代に、北方の戦乱は人口移動にどのような影響を与えたか？,多くの漢人が江南へ移住し、南方の開発が進んだ。,文化,魏晋南北朝時代に、中国社会へ広く浸透した宗教は何か？,仏教が広まり、石窟寺院や仏教美術も発達した。,魏晋南北朝について、分裂・民族移動・江南開発・仏教の広がりを説明せよ。,魏晋南北朝は、220年の後漢滅亡後から589年の隋による統一まで続いた中国の分裂時代である。北方民族の王朝と南方の漢人王朝が並立し、戦乱による人口移動で江南の開発が進んだ。民族融合と仏教の普及も進み、隋・唐統一の土台となった。,後漢滅亡;分裂;北方民族;江南開発;仏教;隋
22,歴史の骨格,東アジア史,618年〜907年,中国を中心に東アジア・中央アジア,唐,王朝,成立,唐を建てた一族は何氏で、初代皇帝は誰か？,李氏で、初代皇帝は高祖・李淵である。,都,唐の都で、国際都市として栄えた都市はどこか？,長安である。,制度,唐が整えた代表的な土地・税・軍事制度は何か？,均田制、租庸調制、府兵制である。,変化,唐の繁栄が大きく揺らぐきっかけとなった反乱は何か？,8世紀半ばの安史の乱である。,唐について、成立・都・制度・国際性・衰退の転機を説明せよ。,唐は、618年に李淵が建てた王朝で、都の長安は東西の人・物・宗教が集まる国際都市となった。均田制・租庸調制・府兵制を整え、東アジアに強い影響を与えた。安史の乱後は節度使が自立し、中央の力が弱まった。,李淵;長安;均田制;租庸調制;府兵制;安史の乱
23,歴史の骨格,東アジア史,960年〜1279年,中国,宋,王朝,成立,宋を建てた人物は誰か？,趙匡胤、すなわち太祖である。,政治,宋は、武人の反乱を防ぐため、どのような政治を進めたか？,文官を重視する文治主義を進めた。,経済,宋代に商業と都市が発達したことを示す代表的な変化は何か？,貨幣経済が発達し、世界初期の紙幣である交子が使われ、海上貿易も拡大した。,技術・文化,宋代に発達し、世界史に大きな影響を与えた技術は何か？,活版印刷、火薬、羅針盤などである。,宋について、文治主義・商業発展・技術革新・対外関係を説明せよ。,宋は、960年に趙匡胤が建てた王朝である。武人を抑えて文官と科挙を重視し、商業・都市・海上貿易が大きく発展した。紙幣、印刷、火薬、羅針盤なども普及した一方、遼・金・モンゴルなど北方勢力の圧力を受けた。,趙匡胤;文治主義;科挙;交子;海上貿易;印刷;火薬;羅針盤
24,歴史の骨格,東アジア史,1271年〜1368年,中国を中心にユーラシア,元,王朝,成立,元を建て、中国全土を支配したモンゴル皇帝は誰か？,フビライ＝ハンである。,都,元の都はどこに置かれたか？,大都、現在の北京に置かれた。,統治,元では、支配集団と被支配集団の間にどのような身分差があったか？,モンゴル人を最上位とし、色目人、漢人、南人を区別する身分的な扱いがあった。,交流,元の時代に、ユーラシア規模の交流が活発になったのはなぜか？,モンゴル系政権が広域を支配し、陸上・海上の交通と交易を保護したから。,元について、建国者・都・民族支配・ユーラシア交流を説明せよ。,元は、フビライ＝ハンが1271年に国号を定め、南宋を滅ぼして中国全土を支配したモンゴル王朝である。都を大都に置き、民族ごとに異なる扱いを行った。モンゴル諸政権との交通を背景に、ユーラシア規模の交易と人的交流が活発になった。,フビライ;大都;モンゴル人;色目人;南宋;ユーラシア交流
25,歴史の骨格,東アジア史,1368年〜1644年,中国,明,王朝,成立,明を建てた人物は誰か？,朱元璋、すなわち洪武帝である。,政治,洪武帝は、皇帝権力を強めるために何を廃止したか？,宰相制度を廃止し、皇帝が行政を直接統轄する体制を強めた。,対外活動,永楽帝の時代に大規模な南海遠征を行った人物は誰か？,鄭和である。,経済・終焉,明の経済と滅亡に関わった重要な要素は何か？,銀を中心とする経済が発達した一方、財政難・農民反乱が深まり、李自成の反乱で滅亡した。,明について、建国・皇帝独裁・鄭和・銀経済・滅亡を説明せよ。,明は、1368年に朱元璋が建てた漢人王朝である。宰相を廃止して皇帝独裁を強め、永楽帝は北京へ遷都し、鄭和を南海遠征に派遣した。銀経済と海外交易が発達したが、財政難や農民反乱が進み、1644年に滅亡した。,朱元璋;洪武帝;宰相廃止;永楽帝;鄭和;銀経済;李自成
26,歴史の骨格,東アジア史,1644年〜1912年,中国・内陸アジア,清,王朝,成立,清を建て、中国を支配した民族は何か？,満洲人である。,統治,清は、少数の満洲人による支配をどのように安定させたか？,八旗を軍事的基盤としつつ、中国の官僚制度や科挙を利用し、満洲人と漢人を併用した。,領域,清は、どのような地域へ領土を拡大したか？,モンゴル、新疆、チベットなど内陸アジアへ支配を広げた。,衰退,19世紀以降、清の支配が揺らいだ主な要因は何か？,人口増加、反乱、西欧列強の侵入、不平等条約、改革の遅れなどである。,清について、満洲人支配・領土拡大・統治方法・19世紀以降の危機を説明せよ。,清は、満洲人が建て、1644年から中国を支配した王朝である。八旗を基盤にしながら中国の官僚制度を利用し、康熙・雍正・乾隆帝の時代にモンゴル・新疆・チベットへ領土を広げた。19世紀には列強の侵入と国内反乱で弱体化し、1912年に滅亡した。,満洲人;八旗;康熙帝;乾隆帝;内陸アジア;不平等条約;1912年
27,歴史の骨格,東アジア史,隋代に整備、唐〜清で発展、1905年廃止,中国を中心に東アジア,科挙,官僚登用制度,定義,科挙とは何か？,主に儒教の経典や文章作成能力を試し、官僚を選ぶ試験制度である。,成立・発展,科挙は、どの王朝で整備され、どの王朝で特に発達したか？,隋で整備され、唐を経て宋で大きく発達した。,意義,科挙は、世襲貴族中心の政治にどのような変化を与えたか？,試験合格者を官僚に登用することで、皇帝に従う文官層を育て、貴族の力を弱めた。,限界・終焉,科挙にはどのような限界があり、いつ廃止されたか？,教育を受けられる富裕層に有利で、内容も古典中心だった。清末の1905年に廃止された。,科挙について、内容・成立・政治的意義・限界を説明せよ。,科挙は、儒教経典や文章能力を試して官僚を選ぶ試験制度である。隋で整備され、唐・宋以降に発達し、皇帝に仕える文官層を形成した。世襲貴族の力を弱め、一定の社会移動を可能にしたが、教育機会は不平等で、1905年に廃止された。,隋;唐;宋;儒教経典;文官;皇帝権力;1905年
28,歴史の骨格,イスラーム・中央ユーラシア史,約570年〜632年,アラビア半島,ムハンマド,人物,出身,ムハンマドは、どの都市の出身か？,アラビア半島のメッカ出身である。,啓示,ムハンマドは、いつ頃から神の啓示を受けたと説いたか？,610年頃から唯一神アッラーの啓示を受けたと説いた。,転機,ムハンマドが622年にメッカからメディナへ移った出来事を何というか？,ヒジュラであり、イスラーム暦の元年とされた。,影響,ムハンマドは晩年までに、アラビア半島にどのような変化をもたらしたか？,信仰共同体ウンマを形成し、宗教と政治を結びつけてアラビア半島の多くを統合した。,ムハンマドについて、啓示・ヒジュラ・ウンマ・アラビア統合を説明せよ。,ムハンマドは、メッカ出身の商人で、610年頃から唯一神アッラーの啓示を受けたと説いた。迫害を受け、622年にメディナへヒジュラし、信仰共同体ウンマを形成した。のちにメッカを支配し、632年までにアラビア半島の多くをイスラームのもとに統合した。,メッカ;610年;アッラー;622年;ヒジュラ;メディナ;ウンマ
29,歴史の骨格,イスラーム・中央ユーラシア史,7世紀以降,アラビア半島から世界各地,イスラーム教,宗教,成立,イスラーム教は、誰によって7世紀に始められたか？,ムハンマドによって始められた。,教典,イスラーム教の聖典は何か？,クルアーンである。,教え,イスラーム教徒が実践すべき基本的義務をまとめたものを何というか？,信仰告白、礼拝、喜捨、断食、巡礼からなる五行である。,共同体・拡大,イスラーム教は、どのような共同体をつくり、どのように広がったか？,信仰共同体ウンマをつくり、征服、交易、移住、布教を通じてアジア・アフリカへ広がった。,イスラーム教について、成立・教典・五行・ウンマ・広がりを説明せよ。,イスラーム教は、7世紀にムハンマドが始めた一神教で、唯一神アッラーへの服従を説く。聖典はクルアーンで、信徒は五行を実践する。信仰共同体ウンマを基礎に、征服だけでなく交易や布教を通じて西アジア、アフリカ、南・東南アジアへ広がった。,ムハンマド;アッラー;クルアーン;五行;ウンマ;交易;布教
30,歴史の骨格,イスラーム・中央ユーラシア史,632年以降,イスラーム世界,カリフ,政治・宗教的称号,定義,カリフとは何か？,ムハンマド死後、イスラーム共同体を率いた後継者の称号である。,初期,ムハンマド直後の4人のカリフは、まとめて何と呼ばれるか？,正統カリフと呼ばれる。,役割,初期のカリフは、どのような役割を担ったか？,ウンマの政治・軍事指導者として統治し、イスラーム勢力を拡大した。,変化,カリフの権威は、後世どのように変化したか？,政治権力が地方王朝やスルタンへ分散し、宗教的権威のみを残す場合も増えた。,カリフについて、意味・正統カリフ・役割・後世の変化を説明せよ。,カリフは、ムハンマドの死後にイスラーム共同体を率いた後継者の称号である。初期の正統カリフは政治・軍事を指導し、領土を急速に拡大した。ウマイヤ朝・アッバース朝では世襲化し、のちには実権が地方王朝やスルタンへ移って権威が分散した。,後継者;正統カリフ;ウンマ;ウマイヤ朝;アッバース朝;スルタン
