dataset_label,item_id,importance_rank,difficulty_label,curriculum_scope,domain,unit,subunit,item,reading,aliases,prerequisite_ids,time_sensitivity,reference_date,legal_basis,card_id,card_type,focus,question,answer,accepted_answers,explanation,confusable_with,distinction,formula,answer_unit,memory_aid,source_name,source_url,reading_map
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000014,14,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,多文化共生,たぶんかきょうせい,なし,なし,stable,該当なし,なし,PE-000014-C01,identify,文化的背景の異なる人々が互いを尊重し、共に社会をつくること。,次の説明に当てはまる用語は何か。文化的背景の異なる人々が互いを尊重し、共に社会をつくること。,多文化共生,多文化共生,文化的背景の異なる人々が互いを尊重し、共に社会をつくること。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000015,15,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,社会的包摂,しゃかいてきほうせつ,なし,なし,stable,該当なし,なし,PE-000015-C01,identify,貧困・障害・差別などで排除されやすい人も社会参加できるようにする考え。,次の説明に当てはまる用語は何か。貧困・障害・差別などで排除されやすい人も社会参加できるようにする考え。,社会的包摂,社会的包摂,貧困・障害・差別などで排除されやすい人も社会参加できるようにする考え。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000016,16,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,持続可能な開発,じぞくかのうなかいはつ,なし,なし,stable,該当なし,なし,PE-000016-C01,identify,将来世代の可能性を損なわず、現世代の必要も満たす開発。,次の説明に当てはまる用語は何か。将来世代の可能性を損なわず、現世代の必要も満たす開発。,持続可能な開発,持続可能な開発,将来世代の可能性を損なわず、現世代の必要も満たす開発。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000017,17,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,法,ほう,なし,なし,stable,該当なし,なし,PE-000017-C01,identify,国家などが定め、社会の秩序を維持するために強制力を伴う規範。,次の説明に当てはまる用語は何か。国家などが定め、社会の秩序を維持するために強制力を伴う規範。,法,法,国家などが定め、社会の秩序を維持するために強制力を伴う規範。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000018,18,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,法の支配,ほうのしはい,なし,PE-000017,stable,該当なし,なし,PE-000018-C01,identify,統治する者を含め、すべての国家権力を法で拘束する原理。,次の説明に当てはまる用語は何か。統治する者を含め、すべての国家権力を法で拘束する原理。,法の支配,法の支配,統治する者を含め、すべての国家権力を法で拘束する原理。,法治主義,法の支配は権力者も法に拘束される原理、法治主義は行政を法律に基づかせる原理。,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,支配=しはい
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000019,19,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,法治主義,ほうちしゅぎ,なし,PE-000017,stable,該当なし,なし,PE-000019-C01,identify,行政権の行使は、あらかじめ定められた法律に基づかなければならないという原則。,次の説明に当てはまる用語は何か。行政権の行使は、あらかじめ定められた法律に基づかなければならないという原則。,法治主義,法治主義,行政権の行使は、あらかじめ定められた法律に基づかなければならないという原則。,法の支配,法治主義は行政の法律適合性、法の支配は権力全体を法で拘束する考え。,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000020,20,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,立憲主義,りっけんしゅぎ,なし,PE-000018,stable,該当なし,なし,PE-000020-C01,identify,憲法によって国家権力を制限し、国民の権利と自由を保障する考え。,次の説明に当てはまる用語は何か。憲法によって国家権力を制限し、国民の権利と自由を保障する考え。,立憲主義,立憲主義,憲法によって国家権力を制限し、国民の権利と自由を保障する考え。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,立憲=りっけん
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000021,21,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,国民主権,こくみんしゅけん,なし,なし,stable,該当なし,日本国憲法前文・第1条,PE-000021-C01,identify,国家の政治の在り方を最終的に決定する権力が国民にあるという原理。,次の説明に当てはまる用語は何か。国家の政治の在り方を最終的に決定する権力が国民にあるという原理。,国民主権,国民主権,国家の政治の在り方を最終的に決定する権力が国民にあるという原理。,なし,なし,なし,なし,なし,衆議院「日本国憲法」,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/shiryo/dl-constitution.htm,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000022,22,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,民主主義,みんしゅしゅぎ,なし,なし,stable,該当なし,なし,PE-000022-C01,identify,政治の最終的な意思を国民が形成し、その意思に基づいて統治する考え。,次の説明に当てはまる用語は何か。政治の最終的な意思を国民が形成し、その意思に基づいて統治する考え。,民主主義,民主主義,政治の最終的な意思を国民が形成し、その意思に基づいて統治する考え。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000023,23,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,多数決,たすうけつ,なし,なし,stable,該当なし,なし,PE-000023-C01,identify,意見が一致しないとき、より多くの支持を得た案を決定とする方法。,次の説明に当てはまる用語は何か。意見が一致しないとき、より多くの支持を得た案を決定とする方法。,多数決,多数決,意見が一致しないとき、より多くの支持を得た案を決定とする方法。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000024,24,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,少数者の権利,しょうすうしゃのけんり,なし,PE-000023,stable,該当なし,なし,PE-000024-C01,identify,多数決でも侵してはならない、少数派の自由・人権・意見表明の保障。,次の説明に当てはまる用語は何か。多数決でも侵してはならない、少数派の自由・人権・意見表明の保障。,少数者の権利,少数者の権利,多数決でも侵してはならない、少数派の自由・人権・意見表明の保障。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000025,25,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,直接民主制,ちょくせつみんしゅせい,なし,PE-000022,stable,該当なし,なし,PE-000025-C01,identify,国民や住民が代表者を介さず、重要事項を直接決定する仕組み。,次の説明に当てはまる用語は何か。国民や住民が代表者を介さず、重要事項を直接決定する仕組み。,直接民主制,直接民主制,国民や住民が代表者を介さず、重要事項を直接決定する仕組み。,間接民主制,直接民主制は国民が直接決定し、間接民主制は代表者が決定する。,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000026,26,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,間接民主制,かんせつみんしゅせい,なし,PE-000022,stable,該当なし,なし,PE-000026-C01,identify,国民が選挙した代表者を通じて政治的意思を決定する仕組み。,次の説明に当てはまる用語は何か。国民が選挙した代表者を通じて政治的意思を決定する仕組み。,間接民主制,間接民主制,国民が選挙した代表者を通じて政治的意思を決定する仕組み。,直接民主制,間接民主制は選挙された代表者が政治を行う。,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000027,27,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,代議制,だいぎせい,なし,PE-000026,stable,該当なし,なし,PE-000027-C01,identify,選挙で選ばれた代表者が議会で政治を行う制度。,次の説明に当てはまる用語は何か。選挙で選ばれた代表者が議会で政治を行う制度。,代議制,代議制,選挙で選ばれた代表者が議会で政治を行う制度。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000028,28,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,権力分立,けんりょくぶんりつ,なし,PE-000020,stable,該当なし,なし,PE-000028-C01,identify,国家権力を複数の機関に分け、権力の集中と濫用を防ぐ仕組み。,次の説明に当てはまる用語は何か。国家権力を複数の機関に分け、権力の集中と濫用を防ぐ仕組み。,権力分立,権力分立,国家権力を複数の機関に分け、権力の集中と濫用を防ぐ仕組み。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000029,29,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,抑制と均衡,よくせいときんこう,なし,PE-000028,stable,該当なし,なし,PE-000029-C01,identify,分立した国家機関が互いを牽制し、力の均衡を保つ仕組み。,次の説明に当てはまる用語は何か。分立した国家機関が互いを牽制し、力の均衡を保つ仕組み。,抑制と均衡,抑制と均衡,分立した国家機関が互いを牽制し、力の均衡を保つ仕組み。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,抑制=よくせい｜均衡=きんこう
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000030,30,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,社会契約説,しゃかいけいやくせつ,なし,なし,stable,該当なし,なし,PE-000030-C01,identify,国家や政治権力は、人々の合意によって成立すると考える政治思想。,次の説明に当てはまる用語は何か。国家や政治権力は、人々の合意によって成立すると考える政治思想。,社会契約説,社会契約説,国家や政治権力は、人々の合意によって成立すると考える政治思想。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000031,31,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,自然権,しぜんけん,なし,なし,stable,該当なし,なし,PE-000031-C01,identify,国家が与えるのではなく、人が生まれながらに持つと考えられる権利。,次の説明に当てはまる用語は何か。国家が与えるのではなく、人が生まれながらに持つと考えられる権利。,自然権,自然権,国家が与えるのではなく、人が生まれながらに持つと考えられる権利。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,自然権=しぜんけん
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000032,32,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,ホッブズ,ほっぶず,なし,PE-000030,stable,該当なし,なし,PE-000032-C01,identify,自然状態を「万人の万人に対する闘争」と捉え、秩序のため強い主権者への服従を説いた思想家。,次の説明に当てはまる用語は何か。自然状態を「万人の万人に対する闘争」と捉え、秩序のため強い主権者への服従を説いた思想家。,ホッブズ,ホッブズ,自然状態を「万人の万人に対する闘争」と捉え、秩序のため強い主権者への服従を説いた思想家。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000033,33,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,ロック,ろっく,なし,PE-000030,stable,該当なし,なし,PE-000033-C01,identify,生命・自由・財産の自然権を重視し、政府が侵害すれば抵抗できると説いた思想家。,次の説明に当てはまる用語は何か。生命・自由・財産の自然権を重視し、政府が侵害すれば抵抗できると説いた思想家。,ロック,ロック,生命・自由・財産の自然権を重視し、政府が侵害すれば抵抗できると説いた思想家。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000034,34,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,ルソー,るそー,なし,PE-000030,stable,該当なし,なし,PE-000034-C01,identify,人民の一般意志に基づく主権を説き、人民主権に影響を与えた思想家。,次の説明に当てはまる用語は何か。人民の一般意志に基づく主権を説き、人民主権に影響を与えた思想家。,ルソー,ルソー,人民の一般意志に基づく主権を説き、人民主権に影響を与えた思想家。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000035,35,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,モンテスキュー,もんてすきゅー,なし,PE-000028,stable,該当なし,なし,PE-000035-C01,identify,権力濫用を防ぐため、立法・行政・司法の権力分立を説いた思想家。,次の説明に当てはまる用語は何か。権力濫用を防ぐため、立法・行政・司法の権力分立を説いた思想家。,モンテスキュー,モンテスキュー,権力濫用を防ぐため、立法・行政・司法の権力分立を説いた思想家。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000036,36,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,ベンサム,べんさむ,なし,なし,stable,該当なし,なし,PE-000036-C01,identify,社会全体の幸福を「最大多数の最大幸福」で測る功利主義を唱えた思想家。,次の説明に当てはまる用語は何か。社会全体の幸福を「最大多数の最大幸福」で測る功利主義を唱えた思想家。,ベンサム,ベンサム,社会全体の幸福を「最大多数の最大幸福」で測る功利主義を唱えた思想家。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000037,37,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,J.S.ミル,じょんすちゅあーとみる,なし,なし,stable,該当なし,なし,PE-000037-C01,identify,他者に危害を加えない限り個人の自由を尊重すべきだと説いた思想家。,次の説明に当てはまる用語は何か。他者に危害を加えない限り個人の自由を尊重すべきだと説いた思想家。,J.S.ミル,J.S.ミル,他者に危害を加えない限り個人の自由を尊重すべきだと説いた思想家。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000038,38,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,ロールズ,じょんろーるず,なし,なし,stable,該当なし,なし,PE-000038-C01,identify,無知のヴェールの下で選ばれる公正な社会原理を構想した思想家。,次の説明に当てはまる用語は何か。無知のヴェールの下で選ばれる公正な社会原理を構想した思想家。,ロールズ,ロールズ,無知のヴェールの下で選ばれる公正な社会原理を構想した思想家。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000039,39,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,市民社会,しみんしゃかい,なし,なし,stable,該当なし,なし,PE-000039-C01,identify,国家とは区別され、市民の自発的な活動や団体が形成する社会領域。,次の説明に当てはまる用語は何か。国家とは区別され、市民の自発的な活動や団体が形成する社会領域。,市民社会,市民社会,国家とは区別され、市民の自発的な活動や団体が形成する社会領域。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000040,40,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,非営利組織,ひえいりそしき,NPO,なし,stable,該当なし,なし,PE-000040-C01,identify,利益の分配を主目的とせず、公益的・社会的活動を行う民間組織。,次の説明に当てはまる用語は何か。利益の分配を主目的とせず、公益的・社会的活動を行う民間組織。,非営利組織,非営利組織｜NPO,利益の分配を主目的とせず、公益的・社会的活動を行う民間組織。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000041,41,Deck 1・骨格,両方,法,憲法と人権,人権思想の歴史,市民革命,しみんかくめい,なし,なし,stable,該当なし,なし,PE-000041-C01,identify,絶対王政を倒し、市民の自由・権利と立憲政治を実現した近代の革命。,次の説明に当てはまる用語は何か。絶対王政を倒し、市民の自由・権利と立憲政治を実現した近代の革命。,市民革命,市民革命,絶対王政を倒し、市民の自由・権利と立憲政治を実現した近代の革命。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000042,42,Deck 1・骨格,両方,法,憲法と人権,人権思想の歴史,イギリス権利章典,いぎりすけんりしょうてん,なし,なし,stable,該当なし,なし,PE-000042-C01,identify,1689年に議会の権利と王権の制限を確認し、立憲政治の基礎となった文書。,次の説明に当てはまる用語は何か。1689年に議会の権利と王権の制限を確認し、立憲政治の基礎となった文書。,イギリス権利章典,イギリス権利章典,1689年に議会の権利と王権の制限を確認し、立憲政治の基礎となった文書。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000043,43,Deck 1・骨格,両方,法,憲法と人権,人権思想の歴史,アメリカ独立宣言,あめりかどくりつせんげん,なし,なし,stable,該当なし,なし,PE-000043-C01,identify,1776年に自然権と人民の同意に基づく政府を掲げた独立宣言。,次の説明に当てはまる用語は何か。1776年に自然権と人民の同意に基づく政府を掲げた独立宣言。,アメリカ独立宣言,アメリカ独立宣言,1776年に自然権と人民の同意に基づく政府を掲げた独立宣言。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
