"問題番号","問題スタイル","種類","問題文","回答","解説","出典URL","出典ファイル","出典ページ","出典行"
"WHSO-05-19-04-018","一問一答","主体","ポルトガルにマラッカを奪われた王家が、マレー半島南端に建てた国は？","ジョホール王国。","ムスリム商人を集めてポルトガルに対抗した。","","19_東南アジア世界.md","p.309","L248"
"WHSO-05-19-04-019","一問一答","場所","ポルトガルのマラッカ征服後、ムスリム商人が新たな交易路で通った海峡は？","スンダ海峡。","マラッカ海峡を避け、スマトラ島の西岸を南下した。","","19_東南アジア世界.md","p.309","L248"
"WHSO-05-19-04-020","一問一答","場所","スンダ海峡は、どの二つの島の間にあるか？","スマトラ島とジャワ島の間。","マラッカ海峡の位置と区別する。","","19_東南アジア世界.md","p.309","L248"
"WHSO-05-19-04-021","一問一答","内容","ポルトガルのマラッカ征服後、ムスリム商人はどのような迂回ルートを開いたか？","スマトラ島の西岸を南下し、スンダ海峡を抜けるルート。","交易拠点が支配されても、別の海路が開拓された。","","19_東南アジア世界.md","p.309","L248"
"WHSO-05-19-04-022","一問一答","主体","新たな交易路の発展で繁栄した、スマトラ島北端のイスラーム国家は？","アチェ王国。","ジャワ島のバンテン・マタラムと地域を区別する。","","19_東南アジア世界.md","p.309","L248"
"WHSO-05-19-04-023","一問一答","主体","新たな交易路の発展で繁栄した、ジャワ島西部のイスラーム国家は？","バンテン王国。","スマトラ島のアチェ王国ではない。","","19_東南アジア世界.md","p.309","L248"
"WHSO-05-19-04-024","一問一答","主体","新たな交易路の発展で繁栄した、ジャワ島中部のイスラーム国家は？","マタラム王国。","ヒンドゥー教国の古マタラム朝とは別の時代の国家である。","","19_東南アジア世界.md","p.309","L248"
"WHSO-05-19-04-025","一問一答","関係","古マタラム朝と、16世紀以降に繁栄したマタラム王国は、宗教がどう異なるか？","古マタラム朝はヒンドゥー教国、後のマタラム王国はイスラーム教国。","似た名前でも、時期と宗教を確認して区別する。","","19_東南アジア世界.md","p.309;p.305","L248;L109"
"WHSO-05-19-04-026","一問一答","関係","アチェ王国・バンテン王国・マタラム王国を、それぞれの位置と対応させなさい。","アチェはスマトラ島北端、バンテンはジャワ島西部、マタラムはジャワ島中部。","新たな海上交易路と国家の発展を結びつける。","","19_東南アジア世界.md","p.309","L248"
"WHSO-05-19-04-027","一問一答","主体","明の海禁緩和後、アユタヤ朝で王室の貿易を任された商人たちは？","中国商人（華僑）。","アユタヤ朝は外来商人を利用しながら交易を発展させた。","","19_東南アジア世界.md","p.309","L250"
"WHSO-05-19-04-028","一問一答","原因","日本人が朱印船でアユタヤなどに進出した、明との交易上の背景は？","明と直接交易できなかったため、東南アジアで取引しようとしたこと。","海禁政策は、第三国での出会貿易も促した。","","19_東南アジア世界.md","p.309","L250"
"WHSO-05-19-04-029","一問一答","用語の特定","アユタヤなどの港市で、中国商人や日本人の進出によって生まれた居留地は？","唐人街と日本町。","交易の拠点に商人が定住するようになった。","","19_東南アジア世界.md","p.309","L250"
"WHSO-05-19-04-030","一問一答","人物","アユタヤ朝のもとでリゴール太守として活躍した日本人は？","山田長政。","日本町や朱印船貿易と結びつけて覚える。","","19_東南アジア世界.md","p.309","L250"
"WHSO-05-19-04-031","一問一答","主体","アユタヤ朝が17世紀に通商したヨーロッパの国として、本文が挙げる三つの国は？","オランダ・イギリス・フランス。","16世紀にはポルトガルとも通商していた。","","19_東南アジア世界.md","p.309","L250"
"WHSO-05-19-04-032","一問一答","内容","アユタヤ朝が東南アジアの港市へ輸出した、代表的な自国の農産物は？","コメ。","外国商品の中継だけでなく、自国産品の輸出も進めた。","","19_東南アジア世界.md","p.309","L250"
"WHSO-05-19-04-033","一問一答","統合説明","アユタヤ朝が商業国家として繁栄した理由を説明しなさい。","明に朝貢し、華僑や日本人・ムスリム商人を利用して交易を広げ、ヨーロッパ諸国とも通商し、コメなど自国産品も輸出した。","内陸物産・外国商人・海上交易を結ぶ国家であった。","","19_東南アジア世界.md","p.309","L250"
"WHSO-05-19-04-034","一問一答","主体","バガン朝滅亡後の分裂を終わらせ、16世紀前半にビルマを再統一した王朝は？","タウングー朝（トウングー朝）。","後のコンバウン朝とは区別する。","","19_東南アジア世界.md","p.309;p.310","L254;L274"
"WHSO-05-19-04-035","一問一答","場所","タウングー朝の繁栄を支えた交易は、内陸部とどの海域を結んだか？","ベンガル湾。","ビルマの内陸交通と海上交易を結ぶ位置が重要だった。","","19_東南アジア世界.md","p.309","L254"
"WHSO-05-19-04-036","一問一答","内容","16世紀後半、タウングー朝はタイのアユタヤに対して何をしたか？","アユタヤを占領した。","その後、タイは再び独立し、アユタヤ朝が繁栄した。","","19_東南アジア世界.md","p.309;p.310","L254;L272"
"WHSO-05-19-04-037","一問一答","主体","タウングー朝を最終的に滅ぼした、モン人の王国は？","ペグー王国。","タウングー朝の衰退後、ビルマは再び分裂した。","","19_東南アジア世界.md","p.310;p.309","L272;L254"
"WHSO-05-19-04-038","一問一答","人物","18世紀半ば、ビルマにコンバウン朝を建てた人物は？","アラウンパヤー。","その名からアラウンパヤー朝とも呼ばれる。","","19_東南アジア世界.md","p.310","L274"
"WHSO-05-19-04-039","一問一答","主体","清の侵攻を退け、タイのアユタヤ朝を滅ぼしたビルマの王朝は？","コンバウン朝（アラウンパヤー朝）。","タウングー朝による一時的なアユタヤ占領と区別する。","","19_東南アジア世界.md","p.310;p.309","L274;L254"
"WHSO-05-19-04-040","一問一答","主体","コンバウン朝によって滅ぼされた、タイの王朝は？","アユタヤ朝。","その後、タイでは新しい政権の再建が進んだ。","","19_東南アジア世界.md","p.310","L274"
"WHSO-05-19-04-041","一問一答","原因","コンバウン朝がイギリスと戦争になるきっかけは？","インドのアッサム地方へ進出し、インド支配を固めるイギリスと衝突したこと。","ビルマとタイの抗争に加え、ヨーロッパのアジア進出も関係した。","","19_東南アジア世界.md","p.310","L274"
"WHSO-05-19-04-042","一問一答","用語の特定","コンバウン朝とイギリスが戦い、ビルマの征服へつながった一連の戦争は？","イギリス＝ビルマ戦争（ビルマ戦争）。","東南アジアの王朝史が、植民地化の歴史へつながる出来事である。","","19_東南アジア世界.md","p.310","L274"
"WHSO-05-19-04-043","一問一答","主体","コンバウン朝を最終的に滅ぼした国は？","イギリス。","ポルトガルやフランスとの取り違えに注意する。","","19_東南アジア世界.md","p.310","L274"
"WHSO-05-19-04-044","一問一答","人物","アユタヤ朝崩壊後、ラタナコーシン朝を建てた人物は？","チャクリ（ラーマ1世）。","バンコクを都とした。","","19_東南アジア世界.md","p.310","L276"
"WHSO-05-19-04-045","一問一答","主体","ラーマ1世が建て、バンコクを都としたタイの王朝は？","ラタナコーシン朝。","スコータイ朝・アユタヤ朝に続くタイ史の流れで整理する。","","19_東南アジア世界.md","p.310;p.307;p.308","L276;L186;L218"
"WHSO-05-19-04-046","一問一答","場所","ラタナコーシン朝の都は？","バンコク。","アユタヤ朝の後に政治的中心が移った。","","19_東南アジア世界.md","p.310","L276"
"WHSO-05-19-04-047","一問一答","原因","アユタヤ朝崩壊後、タイ側の勢力がビルマから自立できた国際的背景は？","清がビルマのコンバウン朝に攻め込み、その抗争に乗じたこと。","ビルマとタイだけでなく、清の動向も関係していた。","","19_東南アジア世界.md","p.310","L276"
"WHSO-05-19-04-048","一問一答","内容","ラタナコーシン朝が国づくりの支柱にした宗教は？","上座部仏教。","タイの先行王朝から続く宗教的な特徴である。","","19_東南アジア世界.md","p.310","L276"
"WHSO-05-19-04-049","一問一答","主体","ベトナムの陳朝滅亡後に成立し、明の永楽帝の侵攻を受けた王朝は？","胡朝。","永楽帝は陳朝を復活させるという名目で出兵した。","","19_東南アジア世界.md","p.310","L301"
"WHSO-05-19-04-050","一問一答","原因","明の永楽帝は、どのような名目でベトナムに侵攻したか？","陳朝を復活させるという名目。","結果として、ベトナムは一時明の支配を受けた。","","19_東南アジア世界.md","p.310","L301"
"WHSO-05-19-04-051","一問一答","人物","明の支配を撃退してベトナムの独立を回復し、黎朝を建てた人物は？","黎利。","中国の制度を導入しながら国家を整備した。","","19_東南アジア世界.md","p.310","L301"
"WHSO-05-19-04-052","一問一答","主体","黎利が建て、明から独立したベトナムの王朝は？","黎朝。","李公蘊の李朝とは、人名・漢字・時期を区別する。","","19_東南アジア世界.md","p.310;p.307","L301;L166"
"WHSO-05-19-04-053","一問一答","内容","黎朝が国家体制の整備のために取り入れた、中国の制度・思想は？","中国風の官僚制度と儒学。","中国からの政治的独立と、文化・制度の受容は両立していた。","","19_東南アジア世界.md","p.310","L301"
"WHSO-05-19-04-054","一問一答","主体","黎朝が南進政策によって制圧した、南ベトナムの国は？","チャンパー。","北部を基盤とした王朝の南方への支配拡大として説明される。","","19_東南アジア世界.md","p.310","L301"
"WHSO-05-19-04-055","一問一答","主体","黎朝のもとで北部の実権を握り、ハノイを拠点とした一族は？","鄭氏。","南部の阮氏と対立した。","","19_東南アジア世界.md","p.310","L303;L301"
"WHSO-05-19-04-056","一問一答","主体","ベトナム南部でフエを拠点に自立し、広南国を形成した一族は？","阮氏。","西山の乱を起こした同姓の阮氏とは別の一族である。","","19_東南アジア世界.md","p.310","L303"
"WHSO-05-19-04-057","一問一答","主体","ベトナム南部の阮氏がフエを拠点につくった政権は？","広南国。","北部の鄭氏が実権を握る大越国と対立した。","","19_東南アジア世界.md","p.310","L303"
"WHSO-05-19-04-058","一問一答","関係","黎朝の分裂後、北部の鄭氏と南部の阮氏は、それぞれどこを拠点としたか？","鄭氏はハノイ、阮氏はフエ。","北の大越国と、南の広南国という対応を押さえる。","","19_東南アジア世界.md","p.310","L303;L301"
"WHSO-05-19-04-059","一問一答","原因","清初に中国人がベトナム南部へ逃れ、都市を建設した背景は？","清が鄭成功を孤立させるために遷界令を出し、中国沿岸の人々が移住したこと。","中国の政策が、東南アジアの人口や都市形成にも影響した。","","19_東南アジア世界.md","p.310","L303"
"WHSO-05-19-04-060","一問一答","用語の特定","18世紀、阮氏3兄弟のもとに農民などが集まり、南の広南阮氏と北の鄭氏を破った反乱は？","西山の乱。","西山の阮氏と、広南国を支配した阮氏は別の一族である。","","19_東南アジア世界.md","p.311","L313"
"WHSO-05-19-04-061","一問一答","主体","西山の乱で、武装した農民らを率いたのは誰か？","西山の阮氏3兄弟。","同姓の広南阮氏を攻撃したため、両者を区別する必要がある。","","19_東南アジア世界.md","p.311","L313"
"WHSO-05-19-04-062","一問一答","原因","西山の乱には、流民のほかにどのような不満を持つ勢力が加わったか？","権力闘争に敗れた官僚や、広南阮氏の支配を嫌う地方勢力。","単一の集団だけでなく、複数の不満を持つ人々が合流した。","","19_東南アジア世界.md","p.311","L313"
"WHSO-05-19-04-063","一問一答","主体","西山の乱によって広南阮氏・鄭氏が敗れ、黎朝も滅んだ後に成立した政権は？","西山政権。","その後、広南阮氏出身の阮福映が反撃した。","","19_東南アジア世界.md","p.311","L313"
"WHSO-05-19-04-064","一問一答","関係","西山の乱を起こした阮氏と、広南国の阮氏は同じ一族か？","別の一族。","資料の説明用のA・Bは、歴史上の名称や解答には付けない。","","19_東南アジア世界.md","p.311","L313"
"WHSO-05-19-04-065","一問一答","人物","広南阮氏出身で、タイやフランス人などの支援を得て阮朝を建てた人物は？","阮福映。","西山政権を倒して、フエを都にした。","","19_東南アジア世界.md","p.311","L315"
"WHSO-05-19-04-066","一問一答","人物","亡命した阮福映を保護した、タイの王は？","ラーマ1世（チャクリ）。","ラタナコーシン朝とベトナムの政権再編が結びついた。","","19_東南アジア世界.md","p.311","L315"
"WHSO-05-19-04-067","一問一答","人物","阮福映を援助した、フランス人宣教師は？","ピニョー。","タイ軍や中国系商人の協力とあわせて、阮朝成立の背景を整理する。","","19_東南アジア世界.md","p.311","L315"
"WHSO-05-19-04-068","一問一答","主体","阮福映が西山政権を滅ぼす際に支援を得た勢力を、国や商人集団で答えなさい。","タイ、フランス人、中国系商人。","交易で結ばれた複数の勢力が、王朝成立を支援した。","","19_東南アジア世界.md","p.311","L315"
"WHSO-05-19-04-069","一問一答","主体","阮福映が西山政権を倒し、フエを都に建てた王朝は？","阮朝。","国号に「越南」を用いた。","","19_東南アジア世界.md","p.311","L315"
"WHSO-05-19-04-070","一問一答","場所","阮朝の都は？","フエ（ユエ）。","李朝・陳朝・黎朝の都ハノイとは異なる。","","19_東南アジア世界.md","p.311;p.307","L315;L166"
"WHSO-05-19-04-071","一問一答","用語の特定","阮朝が用い、「ベトナム」という国名のもとになった国号は？","越南（国）。","ベトナムは「越南」のベトナム語読みと説明される。","","19_東南アジア世界.md","p.311","L315"
"WHSO-05-19-04-072","一問一答","関係","大越と越南は、どのように王朝と対応するか？","大越は李朝から黎朝まで、越南は阮朝の国号。","ダイベトとベトナムという読みも区別する。","","19_東南アジア世界.md","p.311;p.307","L315;L166"
"WHSO-05-19-04-073","一問一答","統合説明","西山の乱から阮朝成立までの経緯を説明しなさい。","西山の阮氏3兄弟が南の広南阮氏と北の鄭氏を倒した。広南阮氏出身の阮福映がタイ・フランス人などの支援で西山政権を破り、阮朝を建てた。","同姓の二つの阮氏を区別することが重要である。","","19_東南アジア世界.md","p.311","L315;L313"
"WHSO-05-19-04-074","一問一答","用語の特定","唐の高宗が北ベトナムに設けた統治機関は？","安南都護府。","本文末の地域別総覧で、中国王朝による支配の一例として挙げられる。","","19_東南アジア世界.md","p.312","L355"
"WHSO-05-19-04-075","一問一答","場所","唐の安南都護府が置かれた場所は、現在のどの都市にあたるか？","ハノイ。","その後もベトナムの諸王朝の都となる地域である。","","19_東南アジア世界.md","p.312","L355"
"WHSO-05-19-04-076","一問一答","場所","ベトナムの李朝の都ハノイに、地域別総覧で併記される名称は？","昇龍。","都の別名を王朝史と対応させる。","","19_東南アジア世界.md","p.312","L356"
"WHSO-05-19-04-077","一問一答","内容","陳朝の『大越史記』が記録した範囲は、資料ではどこからどこまでか？","南越から李朝までの歴史。","地域別総覧では、現存しないことも示されている。","","19_東南アジア世界.md","p.312","L357"
"WHSO-05-19-04-078","一問一答","時期","阮福映が阮朝を建てたのは何年か？","1802年。","王朝の成立年は本文末の地域別総覧に示される。","","19_東南アジア世界.md","p.312","L361"
"WHSO-05-19-04-079","一問一答","主体","阮朝が建国後に朝貢した中国の王朝は？","清。","成立時のフランス人やタイの援助と、建国後の朝貢関係は別の事項である。","","19_東南アジア世界.md","p.312","L361"
"WHSO-05-19-04-080","一問一答","結果","アンコール朝は、タイ人の自立とアユタヤ朝の攻撃によってどうなったか？","支配が弱まり、衰退した。","クメール人の国家とタイ人の国家の力関係の変化として整理する。","","19_東南アジア世界.md","p.312","L368"
"WHSO-05-19-04-081","一問一答","主体","スコータイ朝が朝貢した、13世紀の中国王朝は？","元。","モンゴル遠征の影響下でも、朝貢を通じた関係が結ばれた。","","19_東南アジア世界.md","p.313","L382"
"WHSO-05-19-04-082","一問一答","主体","スコータイ朝を併合し、アンコール朝も破ったタイの王朝は？","アユタヤ朝。","タイ国内の統合と、カンボジア方面への進出をあわせて理解する。","","19_東南アジア世界.md","p.313","L383"
"WHSO-05-19-04-083","一問一答","時期","ビルマのコンバウン朝がアユタヤ朝を滅ぼしたのは何年か？","1767年。","タウングー朝による16世紀の一時的な占領とは区別する。","","19_東南アジア世界.md","p.313","L383"
"WHSO-05-19-04-084","一問一答","時期","ラーマ1世がラタナコーシン朝を建てたのは何年か？","1782年。","アユタヤ朝の滅亡後、タイで王朝が再建された。","","19_東南アジア世界.md","p.313;p.310","L384;L274"
"WHSO-05-19-04-085","一問一答","時期","イギリスがコンバウン朝を滅ぼしたのは何年か？","1885年。","本文末の地域別総覧に示されるビルマ征服の年である。","","19_東南アジア世界.md","p.313","L393"
"WHSO-05-19-04-086","一問一答","内容","マジャパヒト王国は元への朝貢に続き、鄭和の遠征後にはどの王朝に朝貢したか？","明。","元軍の撃退後も、海上交易と朝貢の関係が続いた。","","19_東南アジア世界.md","p.314","L420"
"WHSO-05-19-04-087","一問一答","時期","ポルトガルがマラッカを征服したのは何年か？","1511年。","この出来事を、ムスリム商人の交易路変更と結びつける。","","19_東南アジア世界.md","p.314","L421"
"WHSO-05-19-04-088","一問一答","結果","ポルトガルのマラッカ征服は、東南アジアの交易路と国家の発展をどう変えたか？","ムスリム商人がスマトラ島西岸・スンダ海峡のルートを開き、アチェ・バンテン・マタラムなどのイスラーム国家が繁栄した。","海峡の位置、交易路、王国の位置をまとめて整理する。","","19_東南アジア世界.md","p.314","L422;L421"
