"問題番号","問題スタイル","種類","問題文","回答","解説","出典URL","出典ファイル","出典ページ","出典行"
"WHSO-05-18-01-034","一問一答","内容","明の里甲制では、何戸を1里とし、何グループに分けたか？","110戸を1里とし、11戸ずつの10グループに分けた。","資料の図では、富農1戸と貧農10戸を一つのグループとしている。","","18_中華帝国の繁栄（明・清）.md","p.283","L83;L85-L91"
"WHSO-05-18-01-035","一問一答","内容","里甲制で各グループが順番に負担した里甲正役には、どのような仕事があったか？","徴税や治安維持など。","毎年担当を交替し、各グループには10年に1回まわる仕組みだった。","","18_中華帝国の繁栄（明・清）.md","p.283","L83"
"WHSO-05-18-01-036","一問一答","逆向きの説明","明の衛所制とは、どのような軍事制度か？","軍戸を編成して兵農一致の軍団をつくる制度。","税を負担する民戸の里甲制とは役割が異なる。","","18_中華帝国の繁栄（明・清）.md","p.283","L83"
"WHSO-05-18-01-037","一問一答","場所","洪武帝が都とした、当初は応天府と呼ばれた都市は？","南京。","本文では、金陵はこの都市の古名として示されている。","","18_中華帝国の繁栄（明・清）.md","p.283","L95"
"WHSO-05-18-01-038","一問一答","原因","洪武帝が皇子たちに軍団を与え、北方の王とした目的は？","北方の防衛を担わせるため。","その結果、北平にいた燕王朱棣は強い軍事力を持った。","","18_中華帝国の繁栄（明・清）.md","p.283","L95"
"WHSO-05-18-01-039","一問一答","人物","建文帝の父で、洪武帝よりも先に亡くなった皇太子は？","朱標。","朱標の死によって、洪武帝の孫が後継者になった。","","18_中華帝国の繁栄（明・清）.md","p.284","L112"
"WHSO-05-18-01-040","一問一答","原因","靖難の役が起こった直接のきっかけは？","建文帝が各地の王の勢力を削ろうとし、燕王朱棣が反発したこと。","燕王は皇帝側近の奸臣を取り除くという名目で挙兵した。","","18_中華帝国の繁栄（明・清）.md","p.284","L114"
"WHSO-05-18-01-041","一問一答","結果","靖難の役は、明の皇位にどのような変化をもたらしたか？","建文帝が倒され、燕王朱棣が永楽帝として即位した。","単なる北方遠征ではなく、明の皇位をめぐる内乱である。","","18_中華帝国の繁栄（明・清）.md","p.284;p.282","L114;L38"
"WHSO-05-18-01-042","一問一答","主体","永楽帝がモンゴル親征で攻撃した、東方と西方の主要な2勢力は？","東方のタタール部と西方のオイラト部。","後の北虜南倭でも、この二つの勢力が登場する。","","18_中華帝国の繁栄（明・清）.md","p.284","L116"
"WHSO-05-18-01-043","一問一答","主体","永楽帝のベトナム遠征で、陳朝の王位を奪ったとして攻撃された王朝は？","胡朝。","資料では、この遠征により北ベトナムが明の直接支配下に入ったとされる。","","18_中華帝国の繁栄（明・清）.md","p.284","L116"
"WHSO-05-18-01-044","一問一答","主体","永楽帝が自分の側近として重用した宮廷の集団は？","宦官。","内閣大学士による政務補佐とは別に、側近の宦官も重用した。","","18_中華帝国の繁栄（明・清）.md","p.284","L120"
"WHSO-05-18-01-045","一問一答","用語の特定","永楽帝の時代につくられた、儒学関係の三つの「大全」は？","『四書大全』『五経大全』『性理大全』。","四書・五経・性理に関する書名をまとめて整理する。","","18_中華帝国の繁栄（明・清）.md","p.284","L120"
"WHSO-05-18-01-046","一問一答","関係","洪武帝と永楽帝は、都と中央官制の整備でどう区別できるか？","洪武帝は南京を都に中書省を廃止し、永楽帝は北京へ遷都して内閣を設けた。","皇帝権を中心とする統治を継承しながら、補佐機構が加えられた。","","18_中華帝国の繁栄（明・清）.md","p.284;p.283","L120;L75-L83;L95-L116"
"WHSO-05-18-01-047","一問一答","統合説明","永楽帝の即位・国内統治・対外政策の特徴を説明しなさい。","靖難の役で即位し、北京遷都と内閣設置を進めた。モンゴル親征・ベトナム遠征・鄭和の南海諸国遠征をおこなった。","即位の経緯、国内制度、対外活動を区別して整理する。","","18_中華帝国の繁栄（明・清）.md","p.284;p.282","L120;L39-L46;L114-L116"
