"問題番号","問題スタイル","種類","問題文","回答","解説","出典URL","出典ファイル","出典ページ","出典行"
"WHSO-05-16-04-016","一問一答","人物","キタイの滅亡後に西方へ移動し、カラ＝キタイを建てた王族は？","耶律大石。","中央アジアでキタイ系の政権をつくった。","","16_中華世界の変容（五代十国〜宋）.md","p.264","L397"
"WHSO-05-16-04-017","一問一答","主体","耶律大石が中央アジアに建てた国は？","カラ＝キタイ（西遼）。","中国北方のキタイから西方へ勢力が移った。","","16_中華世界の変容（五代十国〜宋）.md","p.264","L397"
"WHSO-05-16-04-018","一問一答","内容","契丹文字は、どの二つの文字を母体として作られたか？","漢字とウイグル文字。","女真文字や西夏文字との違いを確認する。","","16_中華世界の変容（五代十国〜宋）.md","p.264","L401"
"WHSO-05-16-04-019","一問一答","内容","西夏文字は、どの文字を模倣して作られたか？","漢字。","資料では複雑な字体であると説明される。","","16_中華世界の変容（五代十国〜宋）.md","p.264","L402"
"WHSO-05-16-04-020","一問一答","内容","女真文字は、どの二つの文字をもとに作られたか？","契丹文字と漢字。","契丹文字の母体は漢字とウイグル文字。","","16_中華世界の変容（五代十国〜宋）.md","p.264","L403"
"WHSO-05-16-04-021","一問一答","主体","西夏を建国したのは、何系のどの民族か？","チベット系のタングート族。","中国側では党項とも表記される。","","16_中華世界の変容（五代十国〜宋）.md","p.264;p.255","L411;L52"
"WHSO-05-16-04-022","一問一答","場所","タングート族が押さえた、中国とオアシスの道をつなぐ地域は？","河西回廊。","西夏は東西交易の利益を得た。","","16_中華世界の変容（五代十国〜宋）.md","p.264","L411"
"WHSO-05-16-04-023","一問一答","人物","1038年に皇帝を称し、西夏を建国した人物は？","李元昊。","国号を大夏とした。","","16_中華世界の変容（五代十国〜宋）.md","p.264","L411"
"WHSO-05-16-04-024","一問一答","場所","西夏の都はどこか？","興慶府。","キタイ・金の都と区別する。","","16_中華世界の変容（五代十国〜宋）.md","p.264","L411"
"WHSO-05-16-04-025","一問一答","用語の特定","一般に西夏と呼ばれる国が、自ら定めた国号は？","大夏。","「西夏」は中国側から見た名称。","","16_中華世界の変容（五代十国〜宋）.md","p.264","L411"
"WHSO-05-16-04-026","一問一答","主体","北宋時代、国境を接して争った三つの主要国は？","北宋・キタイ・西夏。","金と南宋が中心となる時期より前の配置。","","16_中華世界の変容（五代十国〜宋）.md","p.264","L411"
"WHSO-05-16-04-027","一問一答","原因","キタイと北宋の滅亡後も、西夏が繁栄した背景は？","金と友好関係を保ち、東西交易の利益を得たため。","河西回廊の位置と外交の両面が関わる。","","16_中華世界の変容（五代十国〜宋）.md","p.264","L413"
"WHSO-05-16-04-028","一問一答","人物","西夏を征服したモンゴルの君主は？","チンギス＝ハン（カン）。","西夏はモンゴルの台頭により滅亡した。","","16_中華世界の変容（五代十国〜宋）.md","p.264","L413"
"WHSO-05-16-04-029","一問一答","主体","金を建国した民族は？","女真族。","キタイの東北部に住んでいた。","","16_中華世界の変容（五代十国〜宋）.md","p.264","L417"
"WHSO-05-16-04-030","一問一答","内容","資料では、女真族は主に何を営んで生活していたと説明されるか？","狩猟や農耕。","完全な遊牧民だったとは説明されていない。","","16_中華世界の変容（五代十国〜宋）.md","p.264","L417"
"WHSO-05-16-04-031","一問一答","人物","女真族を統一して金を建国した人物は？","完顔阿骨打。","上京会寧府を都とした。","","16_中華世界の変容（五代十国〜宋）.md","p.264","L417"
"WHSO-05-16-04-032","一問一答","場所","金が建国時に都とした都市は？","上京会寧府。","キタイの上京臨潢府とは異なる。","","16_中華世界の変容（五代十国〜宋）.md","p.264","L417"
"WHSO-05-16-04-033","一問一答","人物","靖康の変で北宋を滅ぼした、金の第2代君主は？","太宗。","同じ廟号を持つ宋・キタイの君主と区別する。","","16_中華世界の変容（五代十国〜宋）.md","p.264","L417"
"WHSO-05-16-04-034","一問一答","用語の特定","金が女真族を結集し、部族制による支配に用いた制度は？","猛安・謀克。","漢民族には州県制を維持した。","","16_中華世界の変容（五代十国〜宋）.md","p.264","L419"
"WHSO-05-16-04-035","一問一答","関係","金は女真族と華北の漢民族を、それぞれどのように統治したか？","女真族には猛安・謀克による部族制、漢民族には州県制と科挙などを用いた。","キタイと同じく二重統治体制を採用した。","","16_中華世界の変容（五代十国〜宋）.md","p.264","L419"
"WHSO-05-16-04-036","一問一答","人物","金で燕京に遷都し、中都大興府と改称した第4代君主は？","海陵王。","この文章は前ページの金の説明の続きにあたる。","","16_中華世界の変容（五代十国〜宋）.md","p.265","L436"
"WHSO-05-16-04-037","一問一答","場所","金の海陵王が遷都し、中都大興府と改称した都市は？","燕京（現在の北京）。","建国時の都である上京会寧府とは異なる。","","16_中華世界の変容（五代十国〜宋）.md","p.265","L436"
"WHSO-05-16-04-038","一問一答","用語の特定","金代の華北で、儒教・仏教・道教の融合を背景に広まった道教の一派は？","全真教。","南方の正一教と対比される。","","16_中華世界の変容（五代十国〜宋）.md","p.265","L438"
"WHSO-05-16-04-039","一問一答","用語の特定","金代と同じころ江西省で広がり、五斗米道の流れをくむ道教の一派は？","正一教。","華北の全真教と対立した。","","16_中華世界の変容（五代十国〜宋）.md","p.265","L438"
