"問題番号","問題スタイル","種類","問題文","回答","解説","出典URL","出典ファイル","出典ページ","出典行"
"WHSO-05-17-01-053","一問一答","原因","フレグの西方遠征が一時停止した理由は？","モンケの死の知らせが届いたため。","バトゥの撤退時に亡くなったのはオゴデイ。","","17_モンゴル帝国の時代.md","p.274","L198"
"WHSO-05-17-01-054","一問一答","内容","モンケは、どの遠征の途中で亡くなったか？","南宋遠征。","その後にクビライとアリクブケの継承争いが起きた。","","17_モンゴル帝国の時代.md","p.274","L202"
"WHSO-05-17-01-055","一問一答","内容","クビライとアリクブケの皇位継承争いは、どのように始まったか？","クビライが自派のクリルタイで即位し、アリクブケもカラコルムで即位して対立した。","別々の即位から戦争に発展した。","","17_モンゴル帝国の時代.md","p.274","L204"
"WHSO-05-17-01-056","一問一答","結果","クビライとアリクブケの4年間の争いは、どのように決着したか？","クビライが勝利し、正式にカアンとなった。","ただし、その後もカイドゥの反抗が続いた。","","17_モンゴル帝国の時代.md","p.274","L204"
"WHSO-05-17-01-057","一問一答","人物","クビライに長く反抗したカイドゥは、誰の孫か？","オゴデイ。","チンギス＝ハン一族内部の勢力争いにあたる。","","17_モンゴル帝国の時代.md","p.274","L206"
"WHSO-05-17-01-058","一問一答","主体","カイドゥは、クビライに対して主にどの二つのハン国と連合したか？","キプチャク＝ハン国とチャガタイ＝ハン国。","資料では反抗が約40年近く続いたとする。","","17_モンゴル帝国の時代.md","p.274","L206"
"WHSO-05-17-01-059","一問一答","場所","クビライが遷都した、現在の北京にあたる都市は？","大都。","元の皇帝は帝国全体のカアンでもあった。","","17_モンゴル帝国の時代.md","p.274","L210"
"WHSO-05-17-01-060","一問一答","用語の特定","クビライが改称した国号は？","元（大元ウルス）。","改称後も諸ウルスとの連合関係が続いたと説明される。","","17_モンゴル帝国の時代.md","p.274","L210"
"WHSO-05-17-01-061","一問一答","統合説明","資料では、元と諸ハン国の関係をどのように説明しているか？","元の皇帝をカアンとして、チンギス＝ハン一族のウルスが緩やかに結びつく連合体。","完全な独立国家に分裂しただけとは捉えていない。","","17_モンゴル帝国の時代.md","p.274","L210"
"WHSO-05-17-01-062","一問一答","場所","中央アジアのチャガタイ＝ハン国の都は？","アルマリク。","チャガタイ家のウルスの中心。","","17_モンゴル帝国の時代.md","p.275","L264"
"WHSO-05-17-01-063","一問一答","内容","カイドゥの乱の後、チャガタイ＝ハン国はどの家の勢力を吸収したか？","オゴデイ家の勢力。","資料ではオゴデイ＝ハン国とも呼ばれるとする。","","17_モンゴル帝国の時代.md","p.275","L264"
"WHSO-05-17-01-064","一問一答","主体","14世紀に東西へ分かれ、その西側からティムールが登場したハン国は？","チャガタイ＝ハン国。","ティムールは西チャガタイ＝ハン国から登場した。","","17_モンゴル帝国の時代.md","p.275","L264"
"WHSO-05-17-01-065","一問一答","場所","キプチャク＝ハン国の都は？","サライ。","ジョチ家による中央アジアから黒海北岸の支配の中心。","","17_モンゴル帝国の時代.md","p.275","L264"
"WHSO-05-17-01-066","一問一答","人物","キプチャク＝ハン国がイスラーム教を受容した、14世紀の君主は？","ウズベク＝ハン。","支配下のトルコ系遊牧民にはイスラーム教徒が多かった。","","17_モンゴル帝国の時代.md","p.275","L264"
"WHSO-05-17-01-067","一問一答","主体","15世紀、キプチャク＝ハン国の支配下から自立したロシアの国家は？","モスクワ大公国。","モンゴルのロシア支配の変化に関わる。","","17_モンゴル帝国の時代.md","p.275","L264"
"WHSO-05-17-01-068","一問一答","主体","イル＝ハン国のフレグのエジプト方面への進出を阻んだ王朝は？","マムルーク朝。","西アジアの征服がそのままエジプト支配にはならなかった。","","17_モンゴル帝国の時代.md","p.275","L264"
"WHSO-05-17-01-069","一問一答","用語の特定","初期のイル＝ハン国が保護した、キリスト教の一派は？","ネストリウス派。","のちのガザン＝ハンのイスラーム改宗と区別する。","","17_モンゴル帝国の時代.md","p.275","L264"
"WHSO-05-17-01-070","一問一答","原因","初期のイル＝ハン国がヨーロッパへの接近を図った背景は？","支配地をめぐってキプチャク＝ハン国と対立していたため。","資料は諸ハン国間の対立から説明している。","","17_モンゴル帝国の時代.md","p.275","L264"
"WHSO-05-17-01-071","一問一答","人物","イル＝ハン国の全盛期を代表し、イスラーム教に改宗した君主は？","ガザン＝ハン。","初期の宗教政策からの変化として押さえる。","","17_モンゴル帝国の時代.md","p.275","L264"
"WHSO-05-17-01-072","一問一答","人物","ガザン＝ハン時代のイラン人宰相で、『集史』を著した人物は？","ラシード＝アッディーン（ラシード＝ウッディーン）。","モンゴル史の重要な史料を残した。","","17_モンゴル帝国の時代.md","p.275","L264"
"WHSO-05-17-01-073","一問一答","用語の特定","ラシード＝アッディーンが著した、ユーラシアの歴史を扱う歴史書は？","『集史』。","資料では史上初のユーラシア世界史と紹介される。","","17_モンゴル帝国の時代.md","p.275","L264"
"WHSO-05-17-01-074","一問一答","時期","クビライが国号を元と改めたのは何年か？","1271年。","本文ではなく巻末の年号欄にもとづく。","","17_モンゴル帝国の時代.md","p.280","L402"
