"問題番号","問題スタイル","種類","問題文","回答","解説","出典URL","出典ファイル","出典ページ","出典行"
"WHSO-05-19-02-017","一問一答","主体","ジャワ島中部でジャワ人が建て、農作を基盤に発展したヒンドゥー教国は？","マタラム朝（古マタラム）。","後世のイスラーム教国のマタラム王国とは区別する。","","19_東南アジア世界.md","p.305","L109"
"WHSO-05-19-02-018","一問一答","用語の特定","古マタラム朝が建立した、ヒンドゥー教の寺院群は？","プランバナン寺院群。","ジャワ島の寺院でも、ボロブドゥールとは宗教が異なる。","","19_東南アジア世界.md","p.305;p.306","L109;L144"
"WHSO-05-19-02-019","一問一答","関係","ボロブドゥールとプランバナン寺院群を、王朝と宗教に対応させなさい。","ボロブドゥールはシャイレンドラ朝の大乗仏教寺院、プランバナンは古マタラム朝のヒンドゥー教寺院群。","同じジャワ島の文化財を取り違えない。","","19_東南アジア世界.md","p.306;p.305","L144;L109"
"WHSO-05-19-02-020","一問一答","主体","10世紀ころ、マレー半島からスマトラ島の港市国家が連合し、宋に朝貢した勢力を中国史料では何と呼ぶか？","三仏斉。","本文では、シュリーヴィジャヤを引き継いだ港市国家連合と考えられている。","","19_東南アジア世界.md","p.306","L146"
"WHSO-05-19-02-021","一問一答","関係","三仏斉とシュリーヴィジャヤは、本文ではどのような関係とされるか？","三仏斉はシュリーヴィジャヤを引き継いだ港市国家の連合と考えられている。","名称を一つの固定的な国家とだけ捉えず、資料の留保も押さえる。","","19_東南アジア世界.md","p.306","L146"
"WHSO-05-19-02-022","一問一答","主体","11世紀ころ、三仏斉に侵攻した南インドの王朝は？","チョーラ朝。","東南アジアの交易が、インド洋の勢力にも関わっていた例である。","","19_東南アジア世界.md","p.306","L146"
"WHSO-05-19-02-023","一問一答","主体","三仏斉と交易をめぐって争った、ジャワ島東部の王朝は？","クディリ朝。","インド文化を受け継ぐジャワ文化の発展でも知られる。","","19_東南アジア世界.md","p.306","L146"
"WHSO-05-19-02-024","一問一答","用語の特定","クディリ朝で発達したジャワ文化を代表する、影絵芝居は？","ワヤン＝クリ。","インド文化の影響を受けた文化として説明される。","","19_東南アジア世界.md","p.306","L146"
"WHSO-05-19-02-025","一問一答","原因","7世紀ころ、東南アジアの内陸部でも国家形成や統合が進んだ農業上の背景は？","インドから直播きの稲作技術が伝わり、内陸でも稲作が可能になったこと。","港市の交易とは異なる、農業を基盤とする国家形成である。","","19_東南アジア世界.md","p.306","L150"
"WHSO-05-19-02-026","一問一答","関係","陸真臘と水真臘は、それぞれどの地域にあったか？","陸真臘は北部の平原地帯、水真臘はメコン川下流域。","カンボジアの国家形成の過程で現れた二つの連合である。","","19_東南アジア世界.md","p.306","L150"
"WHSO-05-19-02-027","一問一答","関係","陸真臘と水真臘は、中国方面とつながる経路がどう異なったか？","陸真臘は陸路で安南都護府とつながり、水真臘は海上ルートで中国と交易した。","地域と交易路の対応を押さえる。","","19_東南アジア世界.md","p.306","L150"
"WHSO-05-19-02-028","一問一答","主体","9世紀初め、陸真臘と水真臘の地域を統合した王朝は？","アンコール朝（クメール王国）。","カンボジアのクメール人の王朝として整理する。","","19_東南アジア世界.md","p.306","L150"
"WHSO-05-19-02-029","一問一答","場所","アンコール朝が都として建設した都市は？","アンコール＝トム。","寺院であるアンコール＝ワットとは区別する。","","19_東南アジア世界.md","p.306","L150"
"WHSO-05-19-02-030","一問一答","人物","12世紀、アンコール＝ワットを建立したアンコール朝の王は？","スールヤヴァルマン2世。","建設当初はヒンドゥー教寺院だった。","","19_東南アジア世界.md","p.306","L150"
"WHSO-05-19-02-031","一問一答","用語の特定","スールヤヴァルマン2世が建立した、アンコール朝を代表する寺院は？","アンコール＝ワット。","アンコール＝トムは都の名称である。","","19_東南アジア世界.md","p.306","L150"
"WHSO-05-19-02-032","一問一答","内容","アンコール＝ワットは、建設当初はどの宗教の寺院だったか？","ヒンドゥー教寺院。","後に仏教寺院となったことと区別する。","","19_東南アジア世界.md","p.306","L150"
"WHSO-05-19-02-033","一問一答","内容","アンコール＝ワットが仏教寺院となるのは、資料ではどのような出来事の後か？","15世紀、タイのアユタヤ朝に占領された後。","寺院の宗教は、建設当初から一貫して同じではない。","","19_東南アジア世界.md","p.306","L150"
"WHSO-05-19-02-034","一問一答","関係","アンコール＝トムとアンコール＝ワットは、何が異なるか？","アンコール＝トムは都、アンコール＝ワットは寺院。","名称が似ているが、都市と宗教建築という違いがある。","","19_東南アジア世界.md","p.306","L150"
"WHSO-05-19-02-035","一問一答","主体","エーヤワディー川流域で連合国家をつくった、チベット＝ビルマ系の人々は？","ピュー人。","雲南とビルマを結ぶ陸路を支配した。","","19_東南アジア世界.md","p.306","L152"
"WHSO-05-19-02-036","一問一答","場所","ピューが支配した陸路は、主にどの二つの地域を結んでいたか？","雲南とビルマ。","ビルマの国家形成には、海上交易だけでなく内陸交通も関係した。","","19_東南アジア世界.md","p.306","L152"
"WHSO-05-19-02-037","一問一答","主体","9世紀にピューを攻撃した、雲南の国家は？","南詔。","このころからビルマ人がエーヤワディー川に沿って南下した。","","19_東南アジア世界.md","p.306","L152"
"WHSO-05-19-02-038","一問一答","主体","11世紀に成立した、ビルマ人最初の統一王朝は？","バガン朝。","上座部仏教を導入し、多くの寺院を建設した。","","19_東南アジア世界.md","p.306","L152"
"WHSO-05-19-02-039","一問一答","場所","バガン朝が上座部仏教を導入した相手の島・地域は？","スリランカ。","東南アジアの仏教を、すべて中国由来と考えない。","","19_東南アジア世界.md","p.306","L152"
"WHSO-05-19-02-040","一問一答","内容","バガン朝が導入した仏教の系統は？","上座部仏教。","シュリーヴィジャヤなどの大乗仏教と区別する。","","19_東南アジア世界.md","p.306","L152"
"WHSO-05-19-02-041","一問一答","用語の特定","多数の仏教寺院を建てたことから、バガン朝につけられた呼称は？","建寺王朝。","上座部仏教の保護と寺院建設を関連づける。","","19_東南アジア世界.md","p.306","L152"
"WHSO-05-19-02-042","一問一答","主体","チャオプラヤ川沿いに成立した、モン人の港市国家連合は？","ドヴァーラヴァティー。","タイ人が建てたスコータイ朝やアユタヤ朝より前の勢力である。","","19_東南アジア世界.md","p.306;p.307;p.308","L154;L186;L218"
"WHSO-05-19-02-043","一問一答","主体","ドヴァーラヴァティーを形成した人々は？","モン人。","この地域の国家をすべてタイ人の国家と考えない。","","19_東南アジア世界.md","p.306","L154"
"WHSO-05-19-02-044","一問一答","場所","タイ人は、チャオプラヤ川流域へ移動する以前、主にどの地域に住んでいたとされるか？","中国南部。","本文は広西省とベトナムの境界付近を挙げている。","","19_東南アジア世界.md","p.306","L154"
"WHSO-05-19-02-045","一問一答","内容","8世紀ころから移動したタイ人は、チャオプラヤ川のどのあたりで何を始めたか？","上流〜中流で稲作を始めた。","その後、交易の発展を背景に各地で自立するようになった。","","19_東南アジア世界.md","p.306","L154"
"WHSO-05-19-02-046","一問一答","原因","北ベトナムが10世紀に中国王朝の支配から独立した背景は？","唐が滅び、中国が五代十国時代の混乱に入ったこと。","中国の王朝交替が、周辺地域の国家形成にも影響した。","","19_東南アジア世界.md","p.306","L158"
"WHSO-05-19-02-047","一問一答","人物","11世紀初め、ハノイを都にベトナムの李朝を開いた人物は？","李公蘊。","国号は大越であった。","","19_東南アジア世界.md","p.307","L166"
"WHSO-05-19-02-048","一問一答","主体","李公蘊が建てた、北ベトナムの王朝は？","李朝。","朝鮮の李朝と混同しないよう、地域を必ず確認する。","","19_東南アジア世界.md","p.307","L166"
"WHSO-05-19-02-049","一問一答","用語の特定","ベトナムの李朝から黎朝まで使われた国号は？","大越（ダイベト）国。","ダイベトは「大越」のベトナム語読みである。","","19_東南アジア世界.md","p.307","L166"
"WHSO-05-19-02-050","一問一答","場所","ベトナムの李朝が都とし、黎朝まで都として続く都市は？","ハノイ。","阮朝の都フエとは区別する。","","19_東南アジア世界.md","p.307;p.311","L166;L315"
"WHSO-05-19-02-051","一問一答","場所","ベトナムの李朝が農業国家を築くために開拓したのは、どの川のデルタか？","紅河（ホン川）のデルタ。","北ベトナムの農業生産を支えた地域である。","","19_東南アジア世界.md","p.307","L166"
"WHSO-05-19-02-052","一問一答","主体","ベトナムの李朝が朝貢し、文化や制度を学んだ中国の王朝は？","北宋。","独立を保ちながら、中国の文化や統治制度を取り入れた。","","19_東南アジア世界.md","p.307","L166"
"WHSO-05-19-02-053","一問一答","内容","ベトナムの李朝が中国から取り入れた、主な宗教・思想と官僚制度は？","大乗仏教・儒教・道教と、中国の官僚制度や科挙。","政治的独立と文化・制度の受容は両立していた。","","19_東南アジア世界.md","p.307","L166"
"WHSO-05-19-02-054","一問一答","関係","この時期のシュリーヴィジャヤ・バガン朝・アンコール朝を、主要な宗教と対応させなさい。","シュリーヴィジャヤは大乗仏教、バガン朝は上座部仏教、アンコール朝はヒンドゥー教。","アンコール＝ワットが後に仏教寺院になることとは区別する。","","19_東南アジア世界.md","p.307;p.305;p.306","L166;L109;L150;L152"
