dataset_label,item_id,importance_rank,difficulty_label,unit,subunit,item,reading,aliases,prerequisite_ids,time_scale,spatial_scale,card_id,card_type,focus,question,answer,accepted_answers,explanation,confusable_with,distinction,formula,answer_unit,memory_aid,source_name,source_url,reading_map
地学基礎 Deck1 全範囲最重要骨格,ES-000008,8,Deck1｜全範囲の最重要骨格,地球のすがた,地球内部の層構造,内核,ないかく,なし,ES-000004,該当なし,地球規模,ES-000008-C02,relation,固体である理由,内核が高温でも固体である主な理由は何か。,中心部の圧力が非常に高いから,中心部の圧力が非常に高いから,高圧ほど鉄を融かすのに高い温度が必要となるため、内核は固体で存在する。,外核,内核は固体、外核は液体。,なし,なし,なし,地質調査総合センター「地球の構造」,https://www.gsj.jp/geology/geology-japan/geology-earth/index.html,内核=ないかく
地学基礎 Deck1 全範囲最重要骨格,ES-000009,9,Deck1｜全範囲の最重要骨格,地球のすがた,プレートの運動,プレート,ぷれーと,岩石圏プレート,ES-000005｜ES-000006,万〜億年,地球規模,ES-000009-C01,identify,用語の同定,地殻と最上部マントルからなる、地球表面を覆う硬い板状部分を何というか。,プレート,プレート｜岩石圏プレート,地殻と最上部マントルからなる、地球表面を覆う硬い板状部分。,地殻,プレートは地殻だけでなく最上部マントルも含む。,なし,なし,なし,文部科学省「高等学校学習指導要領解説 理科編 理数編」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000009,9,Deck1｜全範囲の最重要骨格,地球のすがた,プレートの運動,プレート,ぷれーと,岩石圏プレート,ES-000005｜ES-000006,万〜億年,地球規模,ES-000009-C02,scale,移動速度の尺度,プレートの移動速度は、およそどの程度の尺度か。,1年に数cm程度,1年に数cm程度｜年に数cm程度｜数cm/年,プレートは人の感覚では遅いが、数千万年では大陸や海洋の配置を大きく変える。,地殻,プレートは地殻だけでなく最上部マントルも含む。,なし,cm/年,なし,文部科学省「高等学校学習指導要領解説 理科編 理数編」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000010,10,Deck1｜全範囲の最重要骨格,地球のすがた,プレートの運動,プレートテクトニクス,ぷれーとてくとにくす,なし,ES-000009,万〜億年,地球規模,ES-000010-C01,identify,用語の同定,プレートの運動によって地震・火山・造山運動などを統一的に説明する考え方を何というか。,プレートテクトニクス,プレートテクトニクス,プレートの運動によって地震・火山・造山運動などを統一的に説明する考え方。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 理科編 理数編」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000010,10,Deck1｜全範囲の最重要骨格,地球のすがた,プレートの運動,プレートテクトニクス,ぷれーとてくとにくす,なし,ES-000009,万〜億年,地球規模,ES-000010-C02,relation,説明できる現象,プレートテクトニクスで統一的に説明される代表的現象を三つ答えよ。,地震・火山活動・造山運動,地震・火山活動・造山運動｜地震、火山活動、造山運動,これらはプレート境界やプレート運動と強く関係する。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 理科編 理数編」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000011,11,Deck1｜全範囲の最重要骨格,地球のすがた,プレートの運動,リソスフェア,りそすふぇあ,岩石圏,ES-000005｜ES-000006,万〜億年,地球規模,ES-000011-C01,identify,用語の同定,地殻と最上部マントルからなる、硬く変形しにくい層を何というか。,リソスフェア,リソスフェア｜岩石圏,地殻と最上部マントルからなる、硬く変形しにくい層。,アセノスフェア,リソスフェアは硬く、その下のアセノスフェアは流動しやすい。,なし,なし,なし,地質調査総合センター「地球の構造」,https://www.gsj.jp/geology/geology-japan/geology-earth/index.html,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000012,12,Deck1｜全範囲の最重要骨格,地球のすがた,プレートの運動,アセノスフェア,あせのすふぇあ,軟流圏,ES-000011,万〜億年,地球規模,ES-000012-C01,identify,用語の同定,リソスフェアの下にあり、部分的に軟らかく長時間では流動する上部マントルの層を何というか。,アセノスフェア,アセノスフェア｜軟流圏,リソスフェアの下にあり、部分的に軟らかく長時間では流動する上部マントルの層。,リソスフェア,アセノスフェアは流動しやすく、リソスフェアは硬い。,なし,なし,なし,地質調査総合センター「地球の構造」,https://www.gsj.jp/geology/geology-japan/geology-earth/index.html,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000013,13,Deck1｜全範囲の最重要骨格,地球のすがた,プレートの運動,大陸プレート,たいりくぷれーと,なし,ES-000009,万〜億年,地球規模,ES-000013-C01,identify,用語の同定,大陸地殻を含み、一般に海洋プレートより厚く密度が小さいプレートを何というか。,大陸プレート,大陸プレート,大陸地殻を含み、一般に海洋プレートより厚く密度が小さいプレート。,海洋プレート,大陸プレートは一般に厚く密度が小さい。,なし,なし,なし,文部科学省「高等学校学習指導要領解説 理科編 理数編」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000013,13,Deck1｜全範囲の最重要骨格,地球のすがた,プレートの運動,大陸プレート,たいりくぷれーと,なし,ES-000009,万〜億年,地球規模,ES-000013-C02,comparison,密度の比較,大陸プレートと海洋プレートでは、一般にどちらの密度が小さいか。,大陸プレート,大陸プレート,大陸地殻は花こう岩質の物質を多く含み、海洋地殻より平均密度が小さい。,海洋プレート,海洋プレートの方が一般に密度が大きい。,なし,なし,なし,文部科学省「高等学校学習指導要領解説 理科編 理数編」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000014,14,Deck1｜全範囲の最重要骨格,地球のすがた,プレートの運動,海洋プレート,かいようぷれーと,なし,ES-000009,万〜億年,地球規模,ES-000014-C01,identify,用語の同定,海洋地殻を含み、一般に大陸プレートより薄く密度が大きいプレートを何というか。,海洋プレート,海洋プレート,海洋地殻を含み、一般に大陸プレートより薄く密度が大きいプレート。,大陸プレート,海洋プレートは一般に薄く密度が大きい。,なし,なし,なし,文部科学省「高等学校学習指導要領解説 理科編 理数編」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000014,14,Deck1｜全範囲の最重要骨格,地球のすがた,プレートの運動,海洋プレート,かいようぷれーと,なし,ES-000009,万〜億年,地球規模,ES-000014-C02,relation,沈み込みやすさ,大陸プレートと海洋プレートが近づくとき、一般にどちらが沈み込みやすいか。,海洋プレート,海洋プレート,海洋プレートは一般に大陸プレートより密度が大きいため、その下へ沈み込みやすい。,大陸プレート,密度の大きい海洋プレートが沈み込みやすい。,なし,なし,なし,文部科学省「高等学校学習指導要領解説 理科編 理数編」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000015,15,Deck1｜全範囲の最重要骨格,地球のすがた,プレートの運動,発散境界,はっさんきょうかい,広がる境界,ES-000009,万〜億年,地球規模,ES-000015-C01,identify,用語の同定,二つのプレートが互いに離れる向きに動く境界を何というか。,発散境界,発散境界｜広がる境界,二つのプレートが互いに離れる向きに動く境界。,収束境界,発散境界ではプレートが離れ、収束境界では近づく。,なし,なし,なし,文部科学省「高等学校学習指導要領解説 理科編 理数編」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000015,15,Deck1｜全範囲の最重要骨格,地球のすがた,プレートの運動,発散境界,はっさんきょうかい,広がる境界,ES-000009,万〜億年,地球規模,ES-000015-C02,example,代表地形,発散境界に形成される代表的な海底地形は何か。,海嶺,海嶺｜中央海嶺,海嶺ではマグマが上昇して新しい海洋プレートがつくられる。,海溝,海嶺は発散境界、海溝は主に収束境界。,なし,なし,なし,文部科学省「高等学校学習指導要領解説 理科編 理数編」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000016,16,Deck1｜全範囲の最重要骨格,地球のすがた,プレートの運動,収束境界,しゅうそくきょうかい,せばまる境界,ES-000009,万〜億年,地球規模,ES-000016-C01,identify,用語の同定,二つのプレートが互いに近づく向きに動く境界を何というか。,収束境界,収束境界｜せばまる境界,二つのプレートが互いに近づく向きに動く境界。,発散境界,収束境界ではプレートが近づく。,なし,なし,なし,文部科学省「高等学校学習指導要領解説 理科編 理数編」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000016,16,Deck1｜全範囲の最重要骨格,地球のすがた,プレートの運動,収束境界,しゅうそくきょうかい,せばまる境界,ES-000009,万〜億年,地球規模,ES-000016-C02,structure,二つの型,収束境界で起こる代表的な二つのプレート運動を答えよ。,沈み込みと大陸衝突,沈み込みと大陸衝突｜沈み込み・大陸衝突,海洋プレートを含む場合は沈み込み、大陸どうしでは衝突が起こりやすい。,発散境界,収束境界ではプレートが近づく。,なし,なし,なし,文部科学省「高等学校学習指導要領解説 理科編 理数編」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000017,17,Deck1｜全範囲の最重要骨格,地球のすがた,プレートの運動,すれ違う境界,すれちがうきょうかい,トランスフォーム境界｜ずれる境界,ES-000009,万〜億年,地球規模,ES-000017-C01,identify,用語の同定,二つのプレートが水平方向に互いにすれ違う境界を何というか。,すれ違う境界,すれ違う境界｜トランスフォーム境界｜ずれる境界,二つのプレートが水平方向に互いにすれ違う境界。,収束境界,プレートが作られたり沈み込んだりせず、主に横にずれる。,なし,なし,なし,文部科学省「高等学校学習指導要領解説 理科編 理数編」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000017,17,Deck1｜全範囲の最重要骨格,地球のすがた,プレートの運動,すれ違う境界,すれちがうきょうかい,トランスフォーム境界｜ずれる境界,ES-000009,万〜億年,地球規模,ES-000017-C02,relation,プレートの増減,すれ違う境界では、プレートは新しく作られたり失われたりするか。,基本的に作られも失われもしない,基本的に作られも失われもしない｜作られず失われない,二つのプレートが境界に沿って水平方向へずれるためである。,収束境界,プレートが作られたり沈み込んだりせず、主に横にずれる。,なし,なし,なし,文部科学省「高等学校学習指導要領解説 理科編 理数編」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000018,18,Deck1｜全範囲の最重要骨格,地球のすがた,プレートの運動,海嶺,かいれい,なし,ES-000015,万〜億年,地球規模,ES-000018-C01,identify,用語の同定,海底に連なる大山脈で、主にプレートが広がる境界に形成される地形を何というか。,海嶺,海嶺,海底に連なる大山脈で、主にプレートが広がる境界に形成される地形。,海溝,海嶺はプレートが生まれる側、海溝は沈み込む側に多い。,なし,なし,なし,文部科学省「高等学校学習指導要領解説 理科編 理数編」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf,海嶺=かいれい
地学基礎 Deck1 全範囲最重要骨格,ES-000018,18,Deck1｜全範囲の最重要骨格,地球のすがた,プレートの運動,海嶺,かいれい,なし,ES-000015,万〜億年,地球規模,ES-000018-C02,relation,新しい海洋地殻,海嶺では海洋地殻はどのように変化するか。,新しい海洋地殻が形成される,新しい海洋地殻が形成される,上昇したマグマが冷えて固まり、海洋底が両側へ広がる。,海溝,海嶺はプレートが生まれる側、海溝は沈み込む側に多い。,なし,なし,なし,文部科学省「高等学校学習指導要領解説 理科編 理数編」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf,海嶺=かいれい
地学基礎 Deck1 全範囲最重要骨格,ES-000019,19,Deck1｜全範囲の最重要骨格,地球のすがた,プレートの運動,海溝,かいこう,なし,ES-000016,万〜億年,地球規模,ES-000019-C01,identify,用語の同定,海洋プレートが沈み込む場所にできる、細長く深い海底地形を何というか。,海溝,海溝,海洋プレートが沈み込む場所にできる、細長く深い海底地形。,海嶺,海溝は沈み込み帯、海嶺は発散境界。,なし,なし,なし,文部科学省「高等学校学習指導要領解説 理科編 理数編」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf,海溝=かいこう
地学基礎 Deck1 全範囲最重要骨格,ES-000019,19,Deck1｜全範囲の最重要骨格,地球のすがた,プレートの運動,海溝,かいこう,なし,ES-000016,万〜億年,地球規模,ES-000019-C02,relation,プレートの運動,海溝では海洋プレートは一般にどのように動くか。,別のプレートの下へ沈み込む,別のプレートの下へ沈み込む,海溝は沈み込みが始まる側の深い海底地形である。,海嶺,海溝は沈み込み帯、海嶺は発散境界。,なし,なし,なし,文部科学省「高等学校学習指導要領解説 理科編 理数編」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf,海溝=かいこう
地学基礎 Deck1 全範囲最重要骨格,ES-000020,20,Deck1｜全範囲の最重要骨格,地球のすがた,プレートの運動,沈み込み,しずみこみ,なし,ES-000014｜ES-000016,万〜億年,地球規模,ES-000020-C01,identify,用語の同定,密度の大きい海洋プレートなどが別のプレートの下へ潜り込む運動を何というか。,沈み込み,沈み込み,密度の大きい海洋プレートなどが別のプレートの下へ潜り込む運動。,大陸衝突,沈み込みでは一方のプレートが他方の下へ入る。,なし,なし,なし,文部科学省「高等学校学習指導要領解説 理科編 理数編」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000020,20,Deck1｜全範囲の最重要骨格,地球のすがた,プレートの運動,沈み込み,しずみこみ,なし,ES-000014｜ES-000016,万〜億年,地球規模,ES-000020-C02,relation,関連する現象,プレートの沈み込み帯で多く起こる二つの地学現象は何か。,地震と火山活動,地震と火山活動｜地震・火山活動,プレート境界の固着と破壊が地震に、水や高温物質を介したマグマ生成が火山活動に関係する。,大陸衝突,沈み込みでは一方のプレートが他方の下へ入る。,なし,なし,なし,文部科学省「高等学校学習指導要領解説 理科編 理数編」,https://www.mext.go.jp/content/20250311-mxt_kyoiku02-100002620_05.pdf,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000021,21,Deck1｜全範囲の最重要骨格,地球のすがた,地震活動,地震,じしん,なし,なし,秒〜日,地域,ES-000021-C01,identify,用語の同定,地下の岩盤が急激にずれ、その振動が地震波として伝わる現象を何というか。,地震,地震,地下の岩盤が急激にずれ、その振動が地震波として伝わる現象。,なし,なし,なし,なし,なし,地震調査研究推進本部「地震・津波の用語集」,https://www.jishin.go.jp/main/yogo/c.htm,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000022,22,Deck1｜全範囲の最重要骨格,地球のすがた,地震活動,震源,しんげん,なし,ES-000021,秒〜日,地域,ES-000022-C01,identify,用語の同定,地下で地震の破壊が始まった場所を何というか。,震源,震源,地下で地震の破壊が始まった場所。,震央,震源は地下、震央はその真上の地表。,なし,なし,なし,地震調査研究推進本部「地震・津波の用語集」,https://www.jishin.go.jp/main/yogo/c.htm,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000023,23,Deck1｜全範囲の最重要骨格,地球のすがた,地震活動,震央,しんおう,なし,ES-000022,秒〜日,地域,ES-000023-C01,identify,用語の同定,震源の真上にあたる地表の地点を何というか。,震央,震央,震源の真上にあたる地表の地点。,震源,震央は地表、震源は地下。,なし,なし,なし,地震調査研究推進本部「地震・津波の用語集」,https://www.jishin.go.jp/main/yogo/c.htm,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000024,24,Deck1｜全範囲の最重要骨格,地球のすがた,地震活動,P波,ぴーは,縦波｜Primary wave,ES-000021,秒〜日,複数尺度,ES-000024-C01,identify,用語の同定,地震波のうち、進行方向と同じ向きに振動し、S波より速く伝わる波を何というか。,P波,P波｜縦波｜Primary wave,地震波のうち、進行方向と同じ向きに振動し、S波より速く伝わる波。,S波,P波は縦波で速く、固体・液体を伝わる。,なし,なし,なし,地震調査研究推進本部「地震・津波の用語集」,https://www.jishin.go.jp/main/yogo/c.htm,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000024,24,Deck1｜全範囲の最重要骨格,地球のすがた,地震活動,P波,ぴーは,縦波｜Primary wave,ES-000021,秒〜日,複数尺度,ES-000024-C02,comparison,伝わる物質,P波は固体と液体のどちらを伝わるか。,固体と液体の両方,固体と液体の両方｜固体・液体,P波は体積変化を伴う縦波で、固体にも液体にも伝わる。,S波,S波は液体を伝わらない。,なし,なし,なし,地震調査研究推進本部「地震・津波の用語集」,https://www.jishin.go.jp/main/yogo/c.htm,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000025,25,Deck1｜全範囲の最重要骨格,地球のすがた,地震活動,S波,えすは,横波｜Secondary wave,ES-000021,秒〜日,複数尺度,ES-000025-C01,identify,用語の同定,地震波のうち、進行方向と直角に振動し、P波より遅く伝わる波を何というか。,S波,S波｜横波｜Secondary wave,地震波のうち、進行方向と直角に振動し、P波より遅く伝わる波。,P波,S波は横波で、液体中を伝わらない。,なし,なし,なし,地震調査研究推進本部「地震・津波の用語集」,https://www.jishin.go.jp/main/yogo/c.htm,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000025,25,Deck1｜全範囲の最重要骨格,地球のすがた,地震活動,S波,えすは,横波｜Secondary wave,ES-000021,秒〜日,複数尺度,ES-000025-C02,comparison,伝わる物質,S波が伝わらない物質の状態は何か。,液体,液体,S波はずれ変形を伝える横波で、液体中を伝わらない。,P波,P波は液体も伝わる。,なし,なし,なし,地震調査研究推進本部「地震・津波の用語集」,https://www.jishin.go.jp/main/yogo/c.htm,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000026,26,Deck1｜全範囲の最重要骨格,地球のすがた,地震活動,初期微動,しょきびどう,なし,ES-000024｜ES-000025,秒〜日,地域,ES-000026-C01,identify,用語の同定,P波の到着からS波の到着までに感じる比較的小さな揺れを何というか。,初期微動,初期微動,P波の到着からS波の到着までに感じる比較的小さな揺れ。,主要動,初期微動はP波による先行する小さな揺れ。,なし,なし,なし,地震調査研究推進本部「地震・津波の用語集」,https://www.jishin.go.jp/main/yogo/c.htm,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000027,27,Deck1｜全範囲の最重要骨格,地球のすがた,地震活動,主要動,しゅようどう,なし,ES-000025,秒〜日,地域,ES-000027-C01,identify,用語の同定,主にS波の到着後に生じる大きな揺れを何というか。,主要動,主要動,主にS波の到着後に生じる大きな揺れ。,初期微動,主要動は主にS波による後からの大きな揺れ。,なし,なし,なし,地震調査研究推進本部「地震・津波の用語集」,https://www.jishin.go.jp/main/yogo/c.htm,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000028,28,Deck1｜全範囲の最重要骨格,地球のすがた,地震活動,マグニチュード,まぐにちゅーど,M,ES-000021,秒〜日,複数尺度,ES-000028-C01,identify,用語の同定,一つの地震そのものの規模を表す尺度を何というか。,マグニチュード,マグニチュード｜M,一つの地震そのものの規模を表す尺度。,震度,マグニチュードは地震一つに対する規模、震度は地点ごとの揺れ。,なし,なし,なし,地震調査研究推進本部「地震・津波の用語集」,https://www.jishin.go.jp/main/yogo/c.htm,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000028,28,Deck1｜全範囲の最重要骨格,地球のすがた,地震活動,マグニチュード,まぐにちゅーど,M,ES-000021,秒〜日,複数尺度,ES-000028-C02,comparison,値の個数,同じ一つの地震について、マグニチュードは観測地点ごとに変わるか。,原則として変わらない,原則として変わらない｜一つの地震に一つの値,マグニチュードは地震そのものの規模を表すため、地点ごとの揺れを表す震度とは異なる。,震度,震度は地点ごとに異なる。,なし,なし,なし,地震調査研究推進本部「地震・津波の用語集」,https://www.jishin.go.jp/main/yogo/c.htm,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000029,29,Deck1｜全範囲の最重要骨格,地球のすがた,地震活動,震度,しんど,なし,ES-000021,秒〜日,地域,ES-000029-C01,identify,用語の同定,ある地点での地震の揺れの強さを表す尺度を何というか。,震度,震度,ある地点での地震の揺れの強さを表す尺度。,マグニチュード,震度は観測地点ごとに異なる。,なし,なし,なし,地震調査研究推進本部「地震・津波の用語集」,https://www.jishin.go.jp/main/yogo/c.htm,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000029,29,Deck1｜全範囲の最重要骨格,地球のすがた,地震活動,震度,しんど,なし,ES-000021,秒〜日,地域,ES-000029-C02,comparison,値の個数,同じ一つの地震でも、震度は観測地点ごとに変わるか。,変わる,変わる｜地点ごとに異なる,震度は震源からの距離、地盤、地震波の性質などで地点ごとに変わる。,マグニチュード,マグニチュードは地震そのものの規模。,なし,なし,なし,地震調査研究推進本部「地震・津波の用語集」,https://www.jishin.go.jp/main/yogo/c.htm,なし
地学基礎 Deck1 全範囲最重要骨格,ES-000030,30,Deck1｜全範囲の最重要骨格,地球のすがた,地震活動,震源距離,しんげんきょり,なし,ES-000022,秒〜日,地域,ES-000030-C01,identify,用語の同定,観測点から震源までの直線距離を何というか。,震源距離,震源距離,観測点から震源までの直線距離。,震央距離,震源距離は地下の震源まで、震央距離は地表の震央まで。,なし,なし,なし,地震調査研究推進本部「地震・津波の用語集」,https://www.jishin.go.jp/main/yogo/c.htm,なし
