dataset_label,term_id,importance_rank,difficulty_label,word,part_of_speech,meaning,accepted_answers,example_sentence,example_translation
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000523,523,Deck 2｜受験基礎,assess,動詞,〜を慎重に評価する,〜を慎重に評価する|〜を査定する,Doctors assessed the patient's condition before choosing a treatment.,医師たちは治療法を選ぶ前に患者の状態を慎重に評価した。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000524,524,Deck 2｜受験基礎,institution,名詞,制度・機関,制度・機関|組織|慣習,Universities are institutions that create and share knowledge.,大学は知識を生み出し共有する機関である。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000525,525,Deck 2｜受験基礎,conduct,動詞・名詞,〜を実施する,〜を実施する|〜を指揮する|行為,The university conducted a survey of first-year students.,その大学は1年生を対象に調査を実施した。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000526,526,Deck 2｜受験基礎,distinct,形容詞,明確に異なる,明確に異なる|はっきりした,The two traditions have clearly distinct historical origins.,その二つの伝統には明確に異なる歴史的起源がある。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000527,527,Deck 2｜受験基礎,strategy,名詞,戦略,戦略|方策,The team changed its strategy after the first failure.,チームは最初の失敗後に戦略を変えた。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000528,528,Deck 2｜受験基礎,considerably,副詞,かなり大幅に,かなり大幅に|相当に,The cost has increased considerably since last year.,費用は昨年以降かなり大幅に増加した。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000529,529,Deck 2｜受験基礎,reflect,動詞,〜を反映する,〜を反映する|〜を映す|熟考する,The results reflect changes in people's eating habits.,その結果は人々の食習慣の変化を反映している。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000530,530,Deck 2｜受験基礎,diverse,形容詞,多様な種類から成る,多様な種類から成る|多岐にわたる,The city is home to a diverse population.,その都市には多様な人々が暮らしている。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000531,531,Deck 2｜受験基礎,trend,名詞,長期的な動向,長期的な動向|傾向|流行,The report identifies a trend toward smaller households.,その報告書は世帯の小規模化という長期的な動向を特定している。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000532,532,Deck 2｜受験基礎,demonstrate,動詞,〜を実証する,〜を実証する|〜を明確に示す|実演する,The experiment demonstrates the importance of clean water.,その実験はきれいな水の重要性を実証している。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000533,533,Deck 2｜受験基礎,dramatic,形容詞,劇的な,劇的な|目覚ましい|芝居がかった,The policy produced a dramatic fall in traffic accidents.,その政策は交通事故の劇的な減少をもたらした。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000534,534,Deck 2｜受験基礎,circumstance,名詞,事情・周囲の状況,事情・周囲の状況|境遇,"Under these circumstances, delaying the decision was reasonable.",このような事情のもとでは、決定を遅らせるのは妥当だった。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000535,535,Deck 2｜受験基礎,constantly,副詞,絶えず,絶えず|常に,Technology is constantly changing the way people work.,技術は人々の働き方を絶えず変えている。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000536,536,Deck 2｜受験基礎,distinguish,動詞,〜を区別する,〜を区別する|〜を見分ける,Young children sometimes cannot distinguish fact from opinion.,幼い子どもは事実と意見を区別できないことがある。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000537,537,Deck 2｜受験基礎,conflict,名詞・動詞,対立・衝突,対立・衝突|争い|矛盾する,The two goals may come into conflict with each other.,その二つの目標は互いに対立する可能性がある。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000538,538,Deck 2｜受験基礎,evident,形容詞,証拠から明らかな,証拠から明らかな|はっきり分かる,It became evident that the original plan would fail.,当初の計画が失敗することは明らかになった。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000539,539,Deck 2｜受験基礎,element,名詞,構成要素,構成要素|要素|成分,Trust is an essential element of successful teamwork.,信頼はチームワークを成功させるための不可欠な構成要素である。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000540,540,Deck 2｜受験基礎,imply,動詞,〜を暗に示す,〜を暗に示す|〜をほのめかす|〜を意味する,His silence implied that he disagreed with the decision.,彼の沈黙は、その決定に反対であることを暗に示していた。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000541,541,Deck 2｜受験基礎,external,形容詞,外部の,外部の|外面的な|外国の,External factors can strongly influence a student's academic performance.,外部要因は生徒の学業成績に強く影響することがある。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000542,542,Deck 2｜受験基礎,essentially,副詞,本質的には,本質的には|要するに,The two proposals are essentially the same in practice.,その二つの提案は実際には本質的に同じである。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000543,543,Deck 2｜受験基礎,identity,名詞,自己同一性・身元,自己同一性・身元|独自性,Language can be an important part of personal identity.,言語は個人の自己同一性の重要な一部になりうる。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000544,544,Deck 2｜受験基礎,ensure,動詞,必ず〜となるようにする,必ず〜となるようにする|〜を確実にする,Please check the address to ensure safe delivery.,安全に配達されるよう、住所を確認してください。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000545,545,Deck 2｜受験基礎,flexible,形容詞,柔軟に変更できる,柔軟に変更できる|融通の利く,A flexible schedule helps employees balance work and family.,柔軟に変更できる予定は従業員が仕事と家庭を両立する助けになる。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000546,546,Deck 2｜受験基礎,income,名詞,収入,収入|所得,Her monthly income is not enough to cover rising rent.,彼女の月収は上昇する家賃を賄うのに十分ではない。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000547,547,Deck 2｜受験基礎,emphasize,動詞,〜を強調する,〜を強調する|〜を重視する,The teacher emphasized the need to support every claim with evidence.,先生はすべての主張を証拠で支える必要性を強調した。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000548,548,Deck 2｜受験基礎,increasingly,副詞,ますます,ますます|次第に多く,People are increasingly concerned about protecting online privacy.,人々はオンライン上のプライバシー保護をますます懸念している。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000549,549,Deck 2｜受験基礎,ideal,形容詞・名詞,理想的な,理想的な|理想,This quiet room is ideal for serious study.,この静かな部屋は集中して勉強するのに理想的だ。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000550,550,Deck 2｜受験基礎,procedure,名詞,決められた手順,決められた手順|手続き,Follow the correct procedure when reporting an accident.,事故を報告するときは、決められた手順に従ってください。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000551,551,Deck 2｜受験基礎,acquire,動詞,〜を身につける,〜を身につける|〜を獲得する|〜を取得する,Students gradually acquire new skills through repeated practice.,生徒は繰り返し練習することで徐々に新しい技能を身につける。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000552,552,Deck 2｜受験基礎,proportion,名詞,全体に占める割合,全体に占める割合|比率|釣り合い,A large proportion of the students travel by train.,生徒のうち大きな割合が電車で通学している。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000553,553,Deck 2｜受験基礎,initial,形容詞・名詞,当初の,当初の|最初の|頭文字,Our initial estimate was lower than the actual cost.,私たちの当初の見積もりは実際の費用より低かった。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000554,554,Deck 2｜受験基礎,adapt,動詞,〜に適応する,〜に適応する|〜を適合させる|〜を改作する,Animals must adapt to changes in their environment.,動物は環境の変化に適応しなければならない。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000555,555,Deck 2｜受験基礎,initially,副詞,初めのうちは,初めのうちは|当初は,The new system was initially difficult to use.,その新しい制度は初めのうちは使いにくかった。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000556,556,Deck 2｜受験基礎,reaction,名詞,反応・反作用,反応・反作用|反響,Her reaction to the unexpected news was surprisingly calm.,予想外の知らせに対する彼女の反応は驚くほど冷静だった。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000557,557,Deck 2｜受験基礎,internal,形容詞,内部の,内部の|国内の|内面的な,The company is reviewing its internal communication system.,その会社は内部の連絡体制を見直している。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000558,558,Deck 2｜受験基礎,associate,動詞,〜を結びつけて考える,〜を結びつけて考える|〜と関連づける|付き合う,Many people associate the smell with childhood memories.,多くの人はその匂いを子どもの頃の記憶と結びつけて考える。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000559,559,Deck 2｜受験基礎,responsibility,名詞,責任,責任|責務,Parents have a responsibility to protect their children.,親には子どもを守る責任がある。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000560,560,Deck 2｜受験基礎,logical,形容詞,論理的な,論理的な|筋の通った,Her conclusion follows from a clear and logical argument.,彼女の結論は明確で論理的な議論から導かれている。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000561,561,Deck 2｜受験基礎,merely,副詞,単に〜にすぎず,単に〜にすぎず|ただ,The change is not merely a matter of cost.,その変化は単に費用の問題にすぎないわけではない。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000562,562,Deck 2｜受験基礎,attribute,動詞・名詞,〜の原因を…に帰する,〜の原因を…に帰する|〜に起因すると考える|属性・特質,Researchers often attribute the decline to changes in climate.,研究者はしばしば、その減少を気候の変化に起因すると考える。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000563,563,Deck 2｜受験基礎,sector,名詞,産業などの部門,産業などの部門|分野,Employment in the service sector has continued to grow.,サービス部門の雇用は増え続けている。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000564,564,Deck 2｜受験基礎,maximum,形容詞・名詞,最大限の,最大限の|最大値,The room has a maximum capacity of fifty people.,その部屋の最大収容人数は50人である。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000565,565,Deck 2｜受験基礎,tendency,名詞,〜しがちな傾向,〜しがちな傾向|性向,There is a tendency to ignore problems that seem distant.,遠く感じられる問題を無視しがちな傾向がある。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000566,566,Deck 2｜受験基礎,derive,動詞,〜に由来する,〜に由来する|〜を引き出す,The English word derives from an ancient Latin term.,その英単語は古代ラテン語の語に由来する。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000567,567,Deck 2｜受験基礎,necessarily,副詞,必然的に,必然的に|必ずしも,More information does not necessarily lead to better decisions.,情報が増えても必ずしもよりよい決定につながるわけではない。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000568,568,Deck 2｜受験基礎,administration,名詞,行政・組織運営,行政・組織運営|政権|管理部門,The new administration promised to improve public services.,新政権は公共サービスを改善すると約束した。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000569,569,Deck 2｜受験基礎,minimum,形容詞・名詞,最小限の,最小限の|最小値,Applicants must have a minimum of two years' experience.,応募者には最低2年の経験が必要である。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000570,570,Deck 2｜受験基礎,emerge,動詞,姿を現す,姿を現す|明らかになる|台頭する,A clear pattern emerged from the collected data.,集められたデータから明確なパターンが姿を現した。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000571,571,Deck 2｜受験基礎,agency,名詞,専門的な機関,専門的な機関|代理店|作用力,The agency provides practical advice to small businesses.,その機関は小規模企業に実用的な助言を提供している。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000572,572,Deck 2｜受験基礎,mutual,形容詞,相互の,相互の|共通の,Successful cooperation depends on mutual trust and respect.,協力の成功は相互の信頼と尊重にかかっている。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000573,573,Deck 2｜受験基礎,construct,動詞,〜を組み立てる,〜を組み立てる|〜を建設する|〜を構成する,The students constructed a simple bridge from paper.,生徒たちは紙で簡単な橋を組み立てた。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000574,574,Deck 2｜受験基礎,capacity,名詞,収容力・能力,収容力・能力|容量,The hall has a seating capacity of five hundred.,そのホールには500人分の座席収容力がある。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000575,575,Deck 2｜受験基礎,nevertheless,副詞,それにもかかわらず,それにもかかわらず|それでも,"The task was difficult; nevertheless, the team completed it.",その課題は難しかった。それにもかかわらず、チームはやり遂げた。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000576,576,Deck 2｜受験基礎,objective,形容詞・名詞,客観的な,客観的な|目標,Journalists should always provide objective information whenever possible.,記者は可能な限り常に客観的な情報を提供すべきである。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000577,577,Deck 2｜受験基礎,engage,動詞,〜に従事する,〜に従事する|〜を引きつける|関わる,Many students engage in volunteer work during summer.,多くの学生が夏にボランティア活動に従事する。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000578,578,Deck 2｜受験基礎,capital,名詞・形容詞,資本・首都,資本・首都|大文字|死刑に値する,The company needs more capital to expand its operations.,その会社は事業を拡大するため、さらに多くの資本を必要としている。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000579,579,Deck 2｜受験基礎,permanent,形容詞,永続的な,永続的な|常設の,The flood caused permanent damage to several historic buildings.,洪水はいくつかの歴史的建造物に永続的な被害を与えた。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000580,580,Deck 2｜受験基礎,enhance,動詞,〜をさらに高める,〜をさらに高める|〜を向上させる,Good lighting can enhance the appearance of a room.,よい照明は部屋の見栄えをさらに高めることができる。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000581,581,Deck 2｜受験基礎,consumer,名詞,消費者,消費者|購入者,Consumers are demanding clearer information about food ingredients.,消費者は食品の原材料について、より明確な情報を求めている。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000582,582,Deck 2｜受験基礎,occasionally,副詞,ときおり,ときおり|時々,Even careful researchers occasionally make relatively simple mistakes.,注意深い研究者でも、ときおり比較的単純な間違いをする。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000583,583,Deck 2｜受験基礎,extend,動詞,〜を延長する,〜を延長する|〜を広げる|伸びる,The library extended its opening hours during exams.,図書館は試験期間中、開館時間を延長した。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000584,584,Deck 2｜受験基礎,potential,形容詞・名詞,潜在的な,潜在的な|可能性|潜在能力,The medicine may have potential benefits for older patients.,その薬には高齢患者への潜在的な利益があるかもしれない。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000585,585,Deck 2｜受験基礎,contract,名詞・動詞,契約,契約|契約する|縮む,Read the contract carefully before you sign it.,署名する前に契約を注意深く読んでください。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000586,586,Deck 2｜受験基礎,controversy,名詞,意見が割れる論争,意見が割れる論争|議論の的,The proposal caused considerable controversy among local residents.,その提案は地域住民の間でかなり大きな論争を引き起こした。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000587,587,Deck 2｜受験基礎,explore,動詞,〜を探究する,〜を探究する|〜を探索する|詳しく検討する,The book explores how technology changes human relationships.,その本は技術が人間関係をどう変えるかを探究している。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000588,588,Deck 2｜受験基礎,previous,形容詞,一つ前の,一つ前の|以前の,The previous study reached a very different conclusion.,一つ前の研究は大きく異なる結論に達した。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000589,589,Deck 2｜受験基礎,potentially,副詞,潜在的には,潜在的には|場合によっては,The substance is potentially harmful if used incorrectly.,その物質は使い方を誤ると潜在的には有害である。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000590,590,Deck 2｜受験基礎,crisis,名詞,重大な危機,重大な危機|危機的状況,The country faced an economic crisis after the sudden collapse.,その国は突然の崩壊後、重大な経済危機に直面した。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000591,591,Deck 2｜受験基礎,generate,動詞,〜を生み出す,〜を生み出す|〜を発生させる,The new project generated several useful ideas for teachers.,その新しい企画は教師向けの有用な考えをいくつか生み出した。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000592,592,Deck 2｜受験基礎,professional,形容詞・名詞,専門職としての,専門職としての|職業上の|専門家,She received professional training before starting the job.,彼女はその仕事を始める前に専門職としての訓練を受けた。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000593,593,Deck 2｜受験基礎,criterion,名詞,判断の基準,判断の基準|評価基準,Cost should not be the only criterion for choosing a school.,費用だけを学校選びの判断基準にすべきではない。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000594,594,Deck 2｜受験基礎,illustrate,動詞,〜を例で示す,〜を例で示す|〜を図解する|説明する,This story illustrates the danger of judging too quickly.,この物語は性急に判断する危険を例で示している。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000595,595,Deck 2｜受験基礎,primarily,副詞,主として,主として|第一に,The course is designed primarily for first-year students.,その講座は主として1年生向けに設計されている。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000596,596,Deck 2｜受験基礎,proper,形容詞,正しい方法にかなった,正しい方法にかなった|適切な|正式な|本来の,Proper maintenance can extend the life of the machine.,適切な保守を行えば、機械の寿命を延ばすことができる。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000597,597,Deck 2｜受験基礎,debate,名詞・動詞,公開の討論,公開の討論|論争|討論する,The debate focused on how to reduce social inequality.,その公開討論は社会的不平等をどう減らすかに焦点を当てた。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000598,598,Deck 2｜受験基礎,insist,動詞,〜と言い張る,〜と言い張る|強く要求する,She insisted that every member receive the same information.,彼女は全員が同じ情報を受け取るべきだと言い張った。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000599,599,Deck 2｜受験基礎,rational,形容詞,合理的な,合理的な|理性的な,We need a rational basis for making this decision.,この決定を下すには合理的な根拠が必要だ。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000600,600,Deck 2｜受験基礎,decade,名詞,10年間,10年間|10年,The town changed greatly during the last decade.,その町はこの10年間で大きく変化した。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000601,601,Deck 2｜受験基礎,relatively,副詞,比較的,比較的|相対的に,The treatment is relatively inexpensive and easy to provide.,その治療は比較的安価で提供しやすい。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000602,602,Deck 2｜受験基礎,intend,動詞,〜するつもりである,〜するつもりである|〜を意図する,We intend to finish the report by Friday.,私たちは金曜日までに報告書を仕上げるつもりである。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000603,603,Deck 2｜受験基礎,dimension,名詞,物事の一側面,物事の一側面|次元|寸法,The problem has an important cultural dimension today.,その問題には今日、重要な文化的側面がある。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000604,604,Deck 2｜受験基礎,reasonable,形容詞,道理にかなった,道理にかなった|妥当な|手頃な,His explanation sounded reasonable to everyone in the room.,彼の説明はその場の全員に道理にかなっているように聞こえた。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000605,605,Deck 2｜受験基礎,investigate,動詞,〜を詳しく調査する,〜を詳しく調査する|〜を捜査する,Researchers investigated the cause of the sudden decline.,研究者たちは急激な低下の原因を詳しく調査した。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000606,606,Deck 2｜受験基礎,abandon,動詞,〜を断念する,〜を断念する|〜を捨てる|放棄する,The team abandoned the plan after costs rose sharply.,費用が急増したため、チームはその計画を断念した。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000607,607,Deck 2｜受験基礎,emergency,名詞・形容詞,緊急事態,緊急事態|非常時|緊急用の,Keep this number available in case of an emergency.,緊急事態に備えて、この番号をすぐ使えるようにしておいてください。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000608,608,Deck 2｜受験基礎,reliable,形容詞,信頼して頼れる,信頼して頼れる|確実な,The study needs reliable data from several independent sources.,その研究には複数の独立した情報源からの信頼できるデータが必要だ。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000609,609,Deck 2｜受験基礎,similarly,副詞,同じように,同じように|同様に,Children learn language naturally; adults can similarly improve through practice.,子どもは自然に言語を学び、大人も同じように練習で上達できる。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000610,610,Deck 2｜受験基礎,preserve,動詞,〜を保存する,〜を保存する|〜を保護する|〜を維持する,The museum works to preserve valuable local records.,その博物館は貴重な地域記録を保存するために活動している。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000611,611,Deck 2｜受験基礎,error,名詞,誤り,誤り|間違い|誤差,A small error in the calculation changed the final result.,計算上の小さな誤りが最終結果を変えた。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000612,612,Deck 2｜受験基礎,absorb,動詞,〜を吸収する,〜を吸収する|〜を理解する|夢中にさせる,Plants absorb water and minerals through their roots.,植物は根を通して水とミネラルを吸収する。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000613,613,Deck 2｜受験基礎,remarkable,形容詞,注目に値する,注目に値する|驚くべき,The patient made a remarkable recovery after the operation.,その患者は手術後、注目に値する回復を見せた。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000614,614,Deck 2｜受験基礎,extent,名詞,程度・広がり,程度・広がり|範囲,We did not understand the full extent of the damage.,私たちは被害の全体的な程度を理解していなかった。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000615,615,Deck 2｜受験基礎,promote,動詞,〜を促進する,〜を促進する|〜を奨励する|昇進させる,Regular exercise promotes both physical and mental health.,定期的な運動は心身の健康を促進する。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000616,616,Deck 2｜受験基礎,accompany,動詞,〜に伴う,〜に伴う|〜に同行する,Rapid growth is often accompanied by social change.,急速な成長にはしばしば社会変化が伴う。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000617,617,Deck 2｜受験基礎,subsequently,副詞,その後になって,その後になって|後に,The error was discovered and subsequently corrected by staff.,その誤りは発見され、その後職員によって修正された。
英単語段階別デッキ｜Deck 2｜受験基礎500語,EN-000618,618,Deck 2｜受験基礎,rural,形容詞,農村地域の,農村地域の|田舎の,Many rural communities lack easy access to hospitals.,多くの農村地域社会では病院を利用しやすい環境が不足している。
